Time	CellId	RNTI	BWPId	SINR(dB)
3.5713e-05	1	0	0	10.7337
3.5713e-05	1	0	0	25.2411
3.5713e-05	1	0	0	20.2544
3.5713e-05	1	0	0	16.2931
3.5713e-05	1	0	0	19.2079
3.5713e-05	1	0	0	24.4294
3.5713e-05	1	0	0	13.5232
3.5713e-05	1	0	0	22.9722
3.5713e-05	1	0	0	27.374
3.5713e-05	1	0	0	18.6676
3.5713e-05	3	0	0	19.2128
3.5713e-05	3	0	0	28.6825
3.5713e-05	3	0	0	27.7327
3.5713e-05	3	0	0	16.5736
3.5713e-05	3	0	0	23.1295
3.5713e-05	3	0	0	19.0846
3.5713e-05	3	0	0	17.5752
3.5713e-05	3	0	0	14.8813
3.5713e-05	3	0	0	26.0856
3.5713e-05	3	0	0	31.9232
3.5713e-05	5	0	0	30.0226
3.5713e-05	5	0	0	36.5366
3.5713e-05	5	0	0	31.405
3.5713e-05	5	0	0	25.0123
3.5713e-05	5	0	0	16.806
3.5713e-05	5	0	0	38.9585
3.5713e-05	5	0	0	7.20936
3.5713e-05	5	0	0	45.7624
3.5713e-05	5	0	0	15.4927
3.5713e-05	5	0	0	15.0917
0.00503571	1	0	0	12.9124
0.00503571	1	0	0	23.0024
0.00503571	1	0	0	19.8289
0.00503571	1	0	0	15.8615
0.00503571	1	0	0	17.5117
0.00503571	1	0	0	22.4263
0.00503571	1	0	0	14.7139
0.00503571	1	0	0	19.9733
0.00503571	1	0	0	21.8847
0.00503571	1	0	0	20.9653
0.00503571	3	0	0	18.4858
0.00503571	3	0	0	29.1371
0.00503571	3	0	0	26.8171
0.00503571	3	0	0	19.1463
0.00503571	3	0	0	23.0998
0.00503571	3	0	0	22.6556
0.00503571	3	0	0	20.4511
0.00503571	3	0	0	17.4783
0.00503571	3	0	0	24.9801
0.00503571	3	0	0	30.8809
0.00503571	5	0	0	32.3192
0.00503571	5	0	0	36.6027
0.00503571	5	0	0	29.0527
0.00503571	5	0	0	28.4751
0.00503571	5	0	0	19.7247
0.00503571	5	0	0	36.0304
0.00503571	5	0	0	15.1069
0.00503571	5	0	0	45.6697
0.00503571	5	0	0	20.0115
0.00503571	5	0	0	15.2807
0.0100357	1	0	0	12.9124
0.0100357	1	0	0	23.0024
0.0100357	1	0	0	19.8289
0.0100357	1	0	0	15.8615
