Time	CellId	RNTI	BWPId	SINR(dB)
0.309571	1	14	0	36.7984
0.309607	1	1	0	27.0644
0.309643	1	2	0	29.3224
0.309679	1	3	0	21.7824
0.309714	1	4	0	31.6908
0.30975	1	5	0	34.5371
0.309786	1	6	0	36.1918
0.309821	1	11	0	32.2701
0.309893	1	12	0	37.6759
0.309964	1	13	0	32.1922
0.310071	1	14	0	36.7984
0.310107	1	1	0	27.0644
0.310143	1	2	0	29.3224
0.310179	1	3	0	21.7824
0.310214	1	4	0	31.6908
0.310286	1	5	0	34.5371
0.310321	1	6	0	36.1918
0.310393	1	11	0	32.2701
0.310429	1	12	0	37.6759
0.310464	1	13	0	32.1922
0.310571	1	14	0	36.7984
0.310607	1	1	0	27.0644
0.310643	1	2	0	29.3224
0.310679	1	3	0	21.7824
0.31075	1	4	0	31.6908
0.310786	1	5	0	34.5371
0.310857	1	6	0	36.1918
0.310893	1	11	0	32.2701
0.310929	1	12	0	37.6759
0.310964	1	13	0	32.1922
0.311071	1	14	0	36.7984
0.311107	1	1	0	27.0644
0.311179	1	2	0	29.3224
0.31125	1	3	0	21.7824
0.311286	1	4	0	31.6908
0.311321	1	5	0	34.5371
0.311357	1	6	0	36.1918
0.311393	1	11	0	32.2701
0.311429	1	12	0	37.6759
0.311464	1	13	0	32.1922
0.311607	1	14	0	36.7984
0.311679	1	1	0	27.0644
0.311714	1	2	0	29.3224
0.31175	1	3	0	21.7824
0.311786	1	4	0	31.6908
0.311821	1	5	0	34.5371
0.311857	1	6	0	36.1918
0.311893	1	11	0	32.2701
0.311929	1	12	0	37.6759
0.311964	1	13	0	32.1922
0.312071	1	14	0	36.7984
0.312107	1	1	0	27.0644
0.312143	1	2	0	29.3224
0.312179	1	3	0	21.7824
0.312214	1	4	0	31.6908
0.31225	1	5	0	34.5371
0.312286	1	6	0	36.1918
0.312321	1	11	0	32.2701
0.312393	1	12	0	37.6759
0.312464	1	13	0	32.1922
0.312571	1	14	0	36.7984
0.312607	1	1	0	27.0644
0.312643	1	2	0	29.3224
0.312679	1	3	0	21.7824
0.312714	1	4	0	31.6908
0.31275	1	5	0	34.5371
0.312786	1	6	0	36.1918
0.312821	1	11	0	32.2701
0.360071	3	14	0	45.9729
0.360107	3	1	0	31.0734
0.360143	3	2	0	38.853
0.360179	3	3	0	32.0609
0.360214	3	4	0	33.2581
0.36025	3	5	0	21.7787
0.360286	3	6	0	28.694
0.360321	3	11	0	30.2136
0.360393	3	12	0	31.8638
0.360464	3	13	0	35.3859
0.360571	3	14	0	45.9729
0.360607	3	1	0	31.0734
0.360643	3	2	0	38.853
0.360679	3	3	0	32.0609
0.360714	3	4	0	33.2581
0.360786	3	5	0	21.7787
0.360821	3	6	0	28.694
0.360893	3	11	0	30.2136
0.360929	3	12	0	31.8638
0.360964	3	13	0	35.3859
0.361071	3	14	0	45.9729
0.361107	3	1	0	31.0734
0.361143	3	2	0	38.853
0.361179	3	3	0	32.0609
0.36125	3	4	0	33.2581
0.361286	3	5	0	21.7787
0.361357	3	6	0	28.694
0.361393	3	11	0	30.2136
0.361429	3	12	0	31.8638
0.361464	3	13	0	35.3859
0.361571	3	14	0	45.9729
0.361607	3	1	0	31.0734
0.361643	3	2	0	38.853
0.361714	3	3	0	32.0609
0.36175	3	4	0	33.2581
0.361786	3	5	0	21.7787
0.361821	3	6	0	28.694
0.361857	3	11	0	30.2136
0.361893	3	12	0	31.8638
0.361929	3	13	0	35.3859
0.362107	3	14	0	45.9729
0.362143	3	1	0	31.0734
0.362214	3	2	0	38.853
0.36225	3	3	0	32.0609
0.362286	3	4	0	33.2581
0.362321	3	5	0	21.7787
0.362357	3	6	0	28.694
0.362393	3	11	0	30.2136
0.362429	3	12	0	31.8638
0.362464	3	13	0	35.3859
0.362571	3	14	0	45.9729
0.362643	3	1	0	31.0734
0.362679	3	2	0	38.853
0.362714	3	3	0	32.0609
0.36275	3	4	0	33.2581
0.362786	3	5	0	21.7787
0.362821	3	6	0	28.694
0.362857	3	11	0	30.2136
0.362893	3	12	0	31.8638
0.362964	3	13	0	35.3859
0.363071	3	14	0	45.9729
0.363107	3	1	0	31.0734
0.363143	3	2	0	38.853
0.363179	3	3	0	32.0609
0.363214	3	4	0	33.2581
0.36325	3	5	0	21.7787
0.363286	3	6	0	28.694
0.363321	3	11	0	30.2136
0.363357	3	12	0	31.8638
0.369071	5	15	0	31.2037
0.369107	5	14	0	28.3346
0.369143	5	1	0	55.5115
0.369179	5	2	0	59.2815
0.369214	5	3	0	41.0762
0.36925	5	4	0	42.3039
0.369286	5	5	0	34.2419
0.369321	5	11	0	44.1872
0.369393	5	12	0	32.9886
0.369464	5	13	0	62.0162
0.369571	5	15	0	31.2037
0.369607	5	14	0	28.3346
0.369643	5	1	0	55.5115
0.369679	5	2	0	59.2815
0.369714	5	3	0	41.0762
0.369786	5	4	0	42.3039
0.369821	5	5	0	34.2419
0.369893	5	11	0	44.1872
0.369929	5	12	0	32.9886
0.369964	5	13	0	62.0162
0.370071	5	15	0	31.2037
0.370107	5	14	0	28.3346
0.370143	5	1	0	55.5115
0.370179	5	2	0	59.2815
0.37025	5	3	0	41.0762
0.370286	5	4	0	42.3039
0.370357	5	5	0	34.2419
0.370393	5	11	0	44.1872
0.370429	5	12	0	32.9886
0.370464	5	13	0	62.0162
0.370571	5	15	0	31.2037
0.370607	5	14	0	28.3346
0.370679	5	1	0	55.5115
0.37075	5	2	0	59.2815
0.370786	5	3	0	41.0762
0.370821	5	4	0	42.3039
0.370857	5	5	0	34.2419
0.370893	5	11	0	44.1872
0.370929	5	12	0	32.9886
0.370964	5	13	0	62.0162
0.371107	5	15	0	31.2037
0.371179	5	14	0	28.3346
0.371214	5	1	0	55.5115
0.37125	5	2	0	59.2815
0.371286	5	3	0	41.0762
0.371321	5	4	0	42.3039
0.371357	5	5	0	34.2419
0.371393	5	11	0	44.1872
0.371429	5	12	0	32.9886
0.371464	5	13	0	62.0162
0.371571	5	15	0	31.2037
0.371607	5	14	0	28.3346
0.371643	5	1	0	55.5115
0.371679	5	2	0	59.2815
0.371714	5	3	0	41.0762
0.37175	5	4	0	42.3039
0.371786	5	5	0	34.2419
0.371821	5	11	0	44.1872
0.371893	5	12	0	32.9886
0.371964	5	13	0	62.0162
0.372071	5	15	0	31.2037
0.372107	5	14	0	28.3346
0.372143	5	1	0	55.5115
0.372179	5	2	0	59.2815
0.372214	5	3	0	41.0762
0.37225	5	4	0	42.3039
0.372286	5	5	0	34.2419
0.372321	5	11	0	44.1872
0.432464	5	1	0	55.5115
0.432964	5	1	0	55.5115
0.433464	5	1	0	55.5115
0.433964	5	1	0	55.5115
0.434464	5	1	0	55.5115
0.434964	5	1	0	55.5115
0.435464	5	1	0	55.5115
0.435964	5	1	0	55.5115
0.436464	5	1	0	55.5115
0.436964	5	1	0	55.5115
0.437464	5	1	0	55.5115
0.437964	5	1	0	55.5115
0.438464	5	1	0	55.5115
0.438964	5	1	0	55.5115
0.439464	5	1	0	55.5115
0.439964	5	1	0	55.5115
0.440464	5	1	0	55.5115
0.440964	5	1	0	55.5115
0.441464	5	1	0	55.5115
0.441964	5	1	0	55.5115
0.442464	5	1	0	55.5115
0.442964	5	1	0	55.5115
0.443464	5	1	0	55.5115
0.443964	5	1	0	55.5115
0.444464	5	1	0	55.5115
0.444964	5	1	0	55.5115
0.445464	5	1	0	55.5115
0.445929	5	1	0	55.5115
0.446464	5	1	0	55.5115
0.446929	5	1	0	55.5115
0.447464	5	1	0	55.5115
0.447964	5	1	0	55.5115
0.448429	5	1	0	55.5115
0.448964	5	1	0	55.5115
0.449464	5	1	0	55.5115
0.449964	5	1	0	55.5115
0.450464	5	1	0	55.5115
0.450964	5	1	0	55.5115
0.451464	5	1	0	55.5115
0.451964	5	1	0	55.5115
0.452464	5	1	0	55.5115
0.452964	5	1	0	55.5115
0.453464	5	1	0	55.5115
0.453964	5	1	0	55.5115
0.454429	5	1	0	55.5115
0.454929	5	1	0	55.5115
0.455464	5	1	0	55.5115
0.455964	5	1	0	55.5115
0.456429	5	1	0	55.5115
0.456964	5	1	0	55.5115
0.457464	5	1	0	55.5115
0.457964	5	1	0	55.5115
0.458464	5	1	0	55.5115
0.458964	5	1	0	55.5115
0.459464	5	1	0	55.5115
0.459964	5	1	0	55.5115
0.460464	5	1	0	55.5115
0.460964	5	1	0	55.5115
0.461464	5	1	0	55.5115
0.461964	5	1	0	55.5115
0.462464	5	1	0	55.5115
0.462964	5	1	0	55.5115
0.463464	5	1	0	55.5115
0.463964	5	1	0	55.5115
0.464464	5	1	0	55.5115
0.464929	5	1	0	55.5115
0.465464	5	1	0	55.5115
0.465964	5	1	0	55.5115
0.466464	5	1	0	55.5115
0.466964	5	1	0	55.5115
0.467464	5	1	0	55.5115
0.467964	5	1	0	55.5115
0.468464	5	1	0	55.5115
0.468964	5	1	0	55.5115
0.469464	5	1	0	55.5115
0.469929	5	1	0	55.5115
0.470464	5	1	0	55.5115
0.470964	5	1	0	55.5115
0.471429	5	1	0	55.5115
0.471929	5	1	0	55.5115
0.472464	5	1	0	55.5115
