Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	3	-114.19
0	1	0	6	-108.316
0	1	0	9	-109.928
0	1	0	12	-110.333
0	1	0	15	-112.144
0	1	0	18	-111.712
0	1	0	21	-113.687
0	1	0	24	-109.714
0	1	0	27	-107.861
0	1	0	30	-110.066
0	3	0	4	-113.828
0	3	0	7	-96.2002
0	3	0	10	-106.523
0	3	0	13	-112.759
0	3	0	16	-107.008
0	3	0	19	-110.182
0	3	0	22	-114.926
0	3	0	25	-115.525
0	3	0	28	-107.346
0	3	0	31	-100.317
0	5	0	5	-93.4123
0	5	0	8	-92.0396
0	5	0	11	-102.569
0	5	0	14	-102.507
0	5	0	17	-110.871
0	5	0	20	-97.6195
0	5	0	23	-111.895
0	5	0	26	-85.9646
0	5	0	29	-107.965
0	5	0	32	-115.839
0.005	1	0	3	-114.19
0.005	1	0	6	-108.316
0.005	1	0	9	-109.928
0.005	1	0	12	-110.333
0.005	1	0	15	-112.144
0.005	1	0	18	-111.712
0.005	1	0	21	-113.687
0.005	1	0	24	-109.714
0.005	1	0	27	-107.861
0.005	1	0	30	-110.066
0.005	3	0	4	-113.828
0.005	3	0	7	-96.2002
0.005	3	0	10	-106.523
0.005	3	0	13	-112.759
0.005	3	0	16	-107.008
0.005	3	0	19	-110.182
0.005	3	0	22	-114.926
0.005	3	0	25	-115.525
0.005	3	0	28	-107.346
0.005	3	0	31	-100.317
0.005	5	0	5	-93.4123
0.005	5	0	8	-92.0396
0.005	5	0	11	-102.569
0.005	5	0	14	-102.507
0.005	5	0	17	-110.871
0.005	5	0	20	-97.6195
0.005	5	0	23	-111.895
0.005	5	0	26	-85.9646
0.005	5	0	29	-107.965
0.005	5	0	32	-115.839
0.01	1	0	3	-114.19
0.01	1	0	6	-108.316
0.01	1	0	9	-109.928
0.01	1	0	12	-110.333
0.01	1	0	15	-112.144
0.01	1	0	18	-111.712
0.01	1	0	21	-113.687
0.01	1	0	24	-109.714
0.01	1	0	27	-107.861
0.01	1	0	30	-110.066
0.01	3	0	4	-113.828
0.01	3	0	7	-96.2002
0.01	3	0	10	-106.523
0.01	3	0	13	-112.759
0.01	3	0	16	-107.008
0.01	3	0	19	-110.182
0.01	3	0	22	-114.926
0.01	3	0	25	-115.525
0.01	3	0	28	-107.346
0.01	3	0	31	-100.317
0.01	5	0	5	-93.4123
0.01	5	0	8	-92.0396
0.01	5	0	11	-102.569
0.01	5	0	14	-102.507
0.01	5	0	17	-110.871
0.01	5	0	20	-97.6195
0.01	5	0	23	-111.895
0.01	5	0	26	-85.9646
0.01	5	0	29	-107.965
0.01	5	0	32	-115.839
0.015	1	0	3	-114.19
0.015	1	0	6	-108.316
0.015	1	0	9	-109.928
0.015	1	0	12	-110.333
0.015	1	0	15	-112.144
0.015	1	0	18	-111.712
0.015	1	0	21	-113.687
0.015	1	0	24	-109.714
0.015	1	0	27	-107.861
0.015	1	0	30	-110.066
0.015	3	0	4	-113.828
0.015	3	0	7	-96.2002
0.015	3	0	10	-106.523
0.015	3	0	13	-112.759
0.015	3	0	16	-107.008
0.015	3	0	19	-110.182
0.015	3	0	22	-114.926
0.015	3	0	25	-115.525
0.015	3	0	28	-107.346
0.015	3	0	31	-100.317
0.015	5	0	5	-93.4123
0.015	5	0	8	-92.0396
0.015	5	0	11	-102.569
0.015	5	0	14	-102.507
0.015	5	0	17	-110.871
0.015	5	0	20	-97.6195
0.015	5	0	23	-111.895
0.015	5	0	26	-85.9646
0.015	5	0	29	-107.965
0.015	5	0	32	-115.839
0.018	1	0	3	-114.19
0.018	1	0	6	-108.316
0.018	1	0	9	-109.928
0.018	1	0	12	-110.333
0.018	1	0	15	-112.144
0.018	1	0	18	-111.712
0.018	1	0	21	-113.687
0.018	1	0	24	-109.714
0.018	1	0	27	-107.861
0.018	1	0	30	-110.066
0.018	3	0	4	-113.828
0.018	3	0	7	-96.2002
0.018	3	0	10	-106.523
0.018	3	0	13	-112.759
0.018	3	0	16	-107.008
0.018	3	0	19	-110.182
0.018	3	0	22	-114.926
0.018	3	0	25	-115.525
