% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.3085	1	0	0	14	30	9	1	1	1	15	1	0	0	14
0.3085	1	0	0	1	30	9	1	2	1	15	1	0	0	14
0.3085	1	0	0	2	30	9	1	3	1	15	1	0	0	14
0.3085	1	0	0	3	30	9	1	4	1	15	1	0	0	14
0.3085	1	0	0	4	30	9	1	5	1	15	1	0	0	14
0.3085	1	0	0	5	30	9	1	6	1	15	1	0	0	14
0.3085	1	0	0	6	30	9	1	7	1	15	1	0	0	14
0.3085	1	0	0	11	30	9	1	8	1	15	1	0	0	14
0.3085	1	0	0	12	30	9	1	9	2	15	1	0	0	31
0.3085	1	0	0	13	30	9	1	11	2	15	1	0	0	31
0.309	1	0	0	14	31	0	0	1	1	14	1	0	0	14
0.309	1	0	0	1	31	0	0	2	1	14	1	0	0	14
0.309	1	0	0	2	31	0	0	3	1	14	1	0	0	14
0.309	1	0	0	3	31	0	0	4	1	14	1	0	0	14
0.309	1	0	0	4	31	0	0	5	1	14	1	0	0	14
0.309	1	0	0	5	31	0	0	6	2	14	1	0	0	31
0.309	1	0	0	6	31	0	0	8	1	14	1	0	0	14
0.309	1	0	0	11	31	0	0	9	2	14	1	0	0	31
0.309	1	0	0	12	31	0	0	11	1	14	1	0	0	14
0.309	1	0	0	13	31	0	0	12	1	14	1	0	0	14
0.3095	1	0	0	14	31	0	1	1	1	13	1	0	0	14
0.3095	1	0	0	1	31	0	1	2	1	13	1	0	0	14
0.3095	1	0	0	2	31	0	1	3	1	13	1	0	0	14
0.3095	1	0	0	3	31	0	1	4	1	13	1	0	0	14
0.3095	1	0	0	4	31	0	1	5	2	13	1	0	0	31
0.3095	1	0	0	5	31	0	1	7	1	13	1	0	0	14
0.3095	1	0	0	6	31	0	1	8	2	13	1	0	0	31
0.3095	1	0	0	11	31	0	1	10	1	13	1	0	0	14
0.3095	1	0	0	12	31	0	1	11	1	13	1	0	0	14
0.3095	1	0	0	13	31	0	1	12	1	13	1	0	0	14
0.31	1	0	0	14	31	1	0	1	1	12	1	0	0	14
0.31	1	0	0	1	31	1	0	2	1	12	1	0	0	14
0.31	1	0	0	2	31	1	0	3	2	12	1	0	0	31
0.31	1	0	0	3	31	1	0	5	2	12	1	0	0	31
0.31	1	0	0	4	31	1	0	7	1	12	1	0	0	14
0.31	1	0	0	5	31	1	0	8	1	12	1	0	0	14
0.31	1	0	0	6	31	1	0	9	1	12	1	0	0	14
0.31	1	0	0	11	31	1	0	10	1	12	1	0	0	14
0.31	1	0	0	12	31	1	0	11	1	12	1	0	0	14
0.31	1	0	0	13	31	1	0	12	1	12	1	0	0	14
0.3105	1	0	0	14	31	1	1	1	2	11	1	0	0	31
0.3105	1	0	0	1	31	1	1	3	2	11	1	0	0	31
0.3105	1	0	0	2	31	1	1	5	1	11	1	0	0	14
0.3105	1	0	0	3	31	1	1	6	1	11	1	0	0	14
0.3105	1	0	0	4	31	1	1	7	1	11	1	0	0	14
0.3105	1	0	0	5	31	1	1	8	1	11	1	0	0	14
0.3105	1	0	0	6	31	1	1	9	1	11	1	0	0	14
0.3105	1	0	0	11	31	1	1	10	1	11	1	0	0	14
0.3105	1	0	0	12	31	1	1	11	1	11	1	0	0	14
0.3105	1	0	0	13	31	1	1	12	1	11	1	0	0	14
0.311	1	0	0	14	31	2	0	1	1	15	1	0	0	14
0.311	1	0	0	1	31	2	0	2	1	15	1	0	0	14
0.311	1	0	0	2	31	2	0	3	1	15	1	0	0	14
0.311	1	0	0	3	31	2	0	4	1	15	1	0	0	14
0.311	1	0	0	4	31	2	0	5	1	15	1	0	0	14
0.311	1	0	0	5	31	2	0	6	1	15	1	0	0	14
0.311	1	0	0	6	31	2	0	7	1	15	1	0	0	14
0.311	1	0	0	11	31	2	0	8	1	15	1	0	0	14
0.311	1	0	0	12	31	2	0	9	2	15	1	0	0	31
0.311	1	0	0	13	31	2	0	11	2	15	1	0	0	31
0.3115	1	0	0	14	31	2	1	1	1	14	1	0	25	498
0.3115	1	0	0	1	31	2	1	2	1	14	1	0	23	445
0.3115	1	0	0	2	31	2	1	3	1	14	1	0	23	445
0.3115	1	0	0	3	31	2	1	4	1	14	1	0	15	281
0.3115	1	0	0	4	31	2	1	5	1	14	1	0	27	539
0.3115	1	0	0	5	31	2	1	6	1	14	1	0	27	539
0.3115	1	0	0	6	31	2	1	7	1	14	1	0	27	539
0.3115	1	0	0	11	31	2	1	8	1	14	1	0	27	539
0.359	3	0	0	14	36	0	0	1	1	15	1	0	0	14
0.359	3	0	0	1	36	0	0	2	1	15	1	0	0	14
0.359	3	0	0	2	36	0	0	3	1	15	1	0	0	14
0.359	3	0	0	3	36	0	0	4	1	15	1	0	0	14
0.359	3	0	0	4	36	0	0	5	1	15	1	0	0	14
0.359	3	0	0	5	36	0	0	6	1	15	1	0	0	14
0.359	3	0	0	6	36	0	0	7	1	15	1	0	0	14
0.359	3	0	0	11	36	0	0	8	1	15	1	0	0	14
0.359	3	0	0	12	36	0	0	9	2	15	1	0	0	31
0.359	3	0	0	13	36	0	0	11	2	15	1	0	0	31
0.3595	3	0	0	14	36	0	1	1	1	14	1	0	0	14
0.3595	3	0	0	1	36	0	1	2	1	14	1	0	0	14
0.3595	3	0	0	2	36	0	1	3	1	14	1	0	0	14
0.3595	3	0	0	3	36	0	1	4	1	14	1	0	0	14
0.3595	3	0	0	4	36	0	1	5	1	14	1	0	0	14
0.3595	3	0	0	5	36	0	1	6	2	14	1	0	0	31
0.3595	3	0	0	6	36	0	1	8	1	14	1	0	0	14
0.3595	3	0	0	11	36	0	1	9	2	14	1	0	0	31
0.3595	3	0	0	12	36	0	1	11	1	14	1	0	0	14
0.3595	3	0	0	13	36	0	1	12	1	14	1	0	0	14
0.36	3	0	0	14	36	1	0	1	1	13	1	0	0	14
0.36	3	0	0	1	36	1	0	2	1	13	1	0	0	14
0.36	3	0	0	2	36	1	0	3	1	13	1	0	0	14
0.36	3	0	0	3	36	1	0	4	1	13	1	0	0	14
0.36	3	0	0	4	36	1	0	5	2	13	1	0	0	31
0.36	3	0	0	5	36	1	0	7	1	13	1	0	0	14
0.36	3	0	0	6	36	1	0	8	2	13	1	0	0	31
0.36	3	0	0	11	36	1	0	10	1	13	1	0	0	14
0.36	3	0	0	12	36	1	0	11	1	13	1	0	0	14
0.36	3	0	0	13	36	1	0	12	1	13	1	0	0	14
0.3605	3	0	0	14	36	1	1	1	1	12	1	0	0	14
0.3605	3	0	0	1	36	1	1	2	1	12	1	0	0	14
0.3605	3	0	0	2	36	1	1	3	1	12	1	0	0	14
0.3605	3	0	0	3	36	1	1	4	2	12	1	0	0	31
0.3605	3	0	0	4	36	1	1	6	1	12	1	0	0	14
0.3605	3	0	0	5	36	1	1	7	1	12	1	0	0	14
0.3605	3	0	0	6	36	1	1	8	1	12	1	0	0	14
0.3605	3	0	0	11	36	1	1	9	1	12	1	0	0	14
0.3605	3	0	0	12	36	1	1	10	1	12	1	0	0	14
0.3605	3	0	0	13	36	1	1	11	1	12	1	0	0	14
0.361	3	0	0	14	36	2	0	1	2	11	1	0	0	31
0.361	3	0	0	1	36	2	0	3	1	11	1	0	0	14
0.361	3	0	0	2	36	2	0	4	2	11	1	0	0	31
0.361	3	0	0	3	36	2	0	6	1	11	1	0	0	14
0.361	3	0	0	4	36	2	0	7	1	11	1	0	0	14
0.361	3	0	0	5	36	2	0	8	1	11	1	0	0	14
0.361	3	0	0	6	36	2	0	9	1	11	1	0	0	14
0.361	3	0	0	11	36	2	0	10	1	11	1	0	0	14
0.361	3	0	0	12	36	2	0	11	1	11	1	0	0	14
0.361	3	0	0	13	36	2	0	12	1	11	1	0	0	14
0.3615	3	0	0	14	36	2	1	1	1	15	1	0	0	14
0.3615	3	0	0	1	36	2	1	2	2	15	1	0	0	31
0.3615	3	0	0	2	36	2	1	4	1	15	1	0	0	14
0.3615	3	0	0	3	36	2	1	5	1	15	1	0	0	14
0.3615	3	0	0	4	36	2	1	6	1	15	1	0	0	14
0.3615	3	0	0	5	36	2	1	7	1	15	1	0	0	14
0.3615	3	0	0	6	36	2	1	8	1	15	1	0	0	14
0.3615	3	0	0	11	36	2	1	9	1	15	1	0	0	14
0.3615	3	0	0	12	36	2	1	10	1	15	1	0	0	14
0.3615	3	0	0	13	36	2	1	11	2	15	1	0	0	31
0.362	3	0	0	14	36	3	0	1	1	14	1	0	27	539
0.362	3	0	0	1	36	3	0	2	1	14	1	0	27	539
0.362	3	0	0	2	36	3	0	3	1	14	1	0	27	539
0.362	3	0	0	3	36	3	0	4	1	14	1	0	23	445
0.362	3	0	0	4	36	3	0	5	1	14	1	0	27	539
0.362	3	0	0	5	36	3	0	6	1	14	1	0	13	237
0.362	3	0	0	6	36	3	0	7	1	14	1	0	23	445
0.362	3	0	0	11	36	3	0	8	1	14	1	0	25	498
0.362	3	0	0	12	36	3	0	9	1	14	1	0	23	445
0.368	5	0	0	15	36	9	0	1	1	15	1	0	0	14
0.368	5	0	0	14	36	9	0	2	1	15	1	0	0	14
0.368	5	0	0	1	36	9	0	3	1	15	1	0	0	14
0.368	5	0	0	2	36	9	0	4	1	15	1	0	0	14
0.368	5	0	0	3	36	9	0	5	1	15	1	0	0	14
0.368	5	0	0	4	36	9	0	6	1	15	1	0	0	14
0.368	5	0	0	5	36	9	0	7	1	15	1	0	0	14
0.368	5	0	0	11	36	9	0	8	1	15	1	0	0	14
0.368	5	0	0	12	36	9	0	9	2	15	1	0	0	31
0.368	5	0	0	13	36	9	0	11	2	15	1	0	0	31
0.3685	5	0	0	15	36	9	1	1	1	14	1	0	0	14
0.3685	5	0	0	14	36	9	1	2	1	14	1	0	0	14
0.3685	5	0	0	1	36	9	1	3	1	14	1	0	0	14
0.3685	5	0	0	2	36	9	1	4	1	14	1	0	0	14
0.3685	5	0	0	3	36	9	1	5	1	14	1	0	0	14
0.3685	5	0	0	4	36	9	1	6	2	14	1	0	0	31
0.3685	5	0	0	5	36	9	1	8	1	14	1	0	0	14
0.3685	5	0	0	11	36	9	1	9	2	14	1	0	0	31
