time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.312493	1	12	3	86	0.0043457
0.312564	1	13	3	86	0.00441703
0.312671	1	14	3	86	0.00452407
0.312707	1	1	3	86	0.0045607
0.312743	1	2	3	86	0.00459631
0.312779	1	3	3	86	0.00463192
0.312814	1	4	3	86	0.00466753
0.31285	1	5	3	86	0.00470315
0.312886	1	6	3	86	0.00473876
0.312921	1	11	3	86	0.00477437
0.363064	3	13	3	86	0.00444789
0.363171	3	14	3	86	0.00455494
0.363207	3	1	3	86	0.00459156
0.363243	3	2	3	86	0.00462717
0.363279	3	3	3	86	0.00466279
0.363314	3	4	3	86	0.0046984
0.36335	3	5	3	86	0.00473401
0.363386	3	6	3	86	0.00476963
0.363421	3	11	3	86	0.00480524
0.363457	3	12	3	86	0.00484085
0.371993	5	12	3	86	0.00439737
0.372064	5	13	3	86	0.0044687
0.372171	5	15	3	86	0.00457564
0.372207	5	14	3	86	0.00461146
0.372243	5	1	3	86	0.00464798
0.372279	5	2	3	86	0.00468359
0.372314	5	3	3	86	0.0047192
0.37235	5	4	3	86	0.00475482
0.372386	5	5	3	86	0.00479043
0.372421	5	11	3	86	0.00482604
0.432564	5	1	3	1478	0.00177528
0.432564	5	1	3	1478	0.00177407
0.432564	5	1	3	1478	0.00177285
0.432564	5	1	3	1478	0.00177164
0.433064	5	1	3	1478	0.00227042
0.433064	5	1	3	1478	0.00226921
0.433064	5	1	3	1478	0.002268
0.433064	5	1	3	1478	0.00226678
0.433564	5	1	3	1478	0.00276557
0.433564	5	1	3	1478	0.00276436
0.433564	5	1	3	1478	0.00276314
0.433564	5	1	3	1478	0.00276193
0.433564	5	1	3	1478	0.00276071
0.434064	5	1	3	1478	0.0032595
0.434064	5	1	3	1478	0.00325829
0.434064	5	1	3	1478	0.00325707
0.434064	5	1	3	1478	0.00325586
0.434564	5	1	3	1478	0.00375464
0.434564	5	1	3	1478	0.00375343
0.434564	5	1	3	1478	0.00375222
0.434564	5	1	3	1478	0.003751
0.435064	5	1	3	1478	0.00424979
0.435064	5	1	3	1478	0.00424857
0.435064	5	1	3	1478	0.00424736
0.435064	5	1	3	1478	0.00424615
0.435064	5	1	3	1478	0.00424493
0.435564	5	1	3	1478	0.00474372
0.435564	5	1	3	1478	0.0047425
0.435564	5	1	3	1478	0.00474129
0.435564	5	1	3	1478	0.00474008
0.436064	5	1	3	1478	0.00523886
0.436064	5	1	3	1478	0.00523765
0.436064	5	1	3	1478	0.00523643
0.436064	5	1	3	1478	0.00523522
0.436064	5	1	3	1478	0.005234
0.436564	5	1	3	1478	0.00573279
0.436564	5	1	3	1478	0.00573158
0.436564	5	1	3	1478	0.00573036
0.436564	5	1	3	1478	0.00572915
0.437064	5	1	3	1478	0.00622794
0.437064	5	1	3	1478	0.00622672
0.437064	5	1	3	1478	0.00622551
0.437064	5	1	3	1478	0.00622429
0.437564	5	1	3	1478	0.00672308
0.437564	5	1	3	1478	0.00672187
0.437564	5	1	3	1478	0.00672065
0.437564	5	1	3	1478	0.00671944
0.437564	5	1	3	1478	0.00671822
0.438064	5	1	3	1478	0.00721701
0.438064	5	1	3	1478	0.0072158
0.438064	5	1	3	1478	0.00721458
0.438064	5	1	3	1478	0.00721337
0.438564	5	1	3	1478	0.00771215
0.438564	5	1	3	1478	0.00771094
0.438564	5	1	3	1478	0.00770973
0.438564	5	1	3	1478	0.00770851
0.439064	5	1	3	1478	0.0082073
0.439064	5	1	3	1478	0.00820608
0.439064	5	1	3	1478	0.00820487
0.439064	5	1	3	1478	0.00820366
0.439064	5	1	3	1478	0.00820244
0.439564	5	1	3	1478	0.00870123
0.439564	5	1	3	1478	0.00870001
0.439564	5	1	3	1478	0.0086988
0.439564	5	1	3	1478	0.00869759
0.440064	5	1	3	1478	0.00919637
0.440064	5	1	3	1478	0.00919516
0.440064	5	1	3	1478	0.00919394
0.440064	5	1	3	1478	0.00919273
0.440064	5	1	3	1478	0.00919152
0.440564	5	1	3	1478	0.0096903
0.440564	5	1	3	1478	0.00968909
0.440564	5	1	3	1478	0.00968787
0.440564	5	1	3	1478	0.00968666
0.441064	5	1	3	1478	0.0101854
0.441064	5	1	3	1478	0.0101842
0.441064	5	1	3	1478	0.010183
0.441064	5	1	3	1478	0.0101818
0.441564	5	1	3	1478	0.0106806
0.441564	5	1	3	1478	0.0106794
0.441564	5	1	3	1478	0.0106782
0.441564	5	1	3	1478	0.0106769
0.441564	5	1	3	1478	0.0106757
0.442064	5	1	3	1478	0.0111745
0.442064	5	1	3	1478	0.0111733
0.442064	5	1	3	1478	0.0111721
0.442064	5	1	3	1478	0.0111709
0.442564	5	1	3	1478	0.0116697
0.442564	5	1	3	1478	0.0116684
0.442564	5	1	3	1478	0.0116672
0.442564	5	1	3	1478	0.011666
0.442564	5	1	3	1478	0.0116648
0.443064	5	1	3	1478	0.0121636
0.443064	5	1	3	1478	0.0121624
0.443064	5	1	3	1478	0.0121612
0.443064	5	1	3	1478	0.01216
0.443564	5	1	3	1478	0.0126587
0.443564	5	1	3	1478	0.0126575
0.443564	5	1	3	1478	0.0126563
0.443564	5	1	3	1478	0.0126551
0.444064	5	1	3	1478	0.0131539
0.444064	5	1	3	1478	0.0131527
0.444064	5	1	3	1478	0.0131515
0.444064	5	1	3	1478	0.0131502
0.444064	5	1	3	1478	0.013149
0.444564	5	1	3	1478	0.0136478
0.444564	5	1	3	1478	0.0136466
0.444564	5	1	3	1478	0.0136454
0.444564	5	1	3	1478	0.0136442
0.445064	5	1	3	1478	0.014143
0.445064	5	1	3	1478	0.0141417
0.445064	5	1	3	1478	0.0141405
0.445064	5	1	3	1478	0.0141393
0.445564	5	1	3	1478	0.0146381
0.445564	5	1	3	1478	0.0146369
0.445564	5	1	3	1478	0.0146357
0.445564	5	1	3	1478	0.0146345
0.445564	5	1	3	1478	0.0146332
0.446029	5	1	3	1478	0.0150963
0.446029	5	1	3	1478	0.0150951
0.446029	5	1	3	1478	0.0150939
0.446029	5	1	3	1478	0.0150927
0.446564	5	1	3	1478	0.0156272
0.446564	5	1	3	1478	0.015626
0.446564	5	1	3	1478	0.0156247
0.446564	5	1	3	1478	0.0156235
0.447029	5	1	3	1478	0.0160866
0.447029	5	1	3	1478	0.0160854
0.447029	5	1	3	1478	0.0160842
0.447029	5	1	3	1478	0.016083
0.447564	5	1	3	1478	0.0166175
0.447564	5	1	3	1478	0.0166162
0.447564	5	1	3	1478	0.016615
0.447564	5	1	3	1478	0.0166138
0.447564	5	1	3	1478	0.0166126
0.448064	5	1	3	1478	0.0171114
0.448064	5	1	3	1478	0.0171102
0.448064	5	1	3	1478	0.017109
0.448064	5	1	3	1478	0.0171077
0.448529	5	1	3	1478	0.0175708
0.448529	5	1	3	1478	0.0175696
0.448529	5	1	3	1478	0.0175684
0.448529	5	1	3	1478	0.0175672
0.449064	5	1	3	1478	0.0181017
