time(s)	cellId	rnti	lcid	packetSize
0.308146	1	1	3	86
0.308147	1	2	3	86
0.308147	1	3	3	86
0.308147	1	4	3	86
0.308147	1	5	3	86
0.308147	1	6	3	86
0.308147	1	11	3	86
0.308147	1	12	3	86
0.308147	1	13	3	86
0.308147	1	14	3	86
0.358616	3	1	3	86
0.358616	3	2	3	86
0.358616	3	3	3	86
0.358616	3	4	3	86
0.358616	3	5	3	86
0.358616	3	6	3	86
0.358616	3	11	3	86
0.358616	3	12	3	86
0.358616	3	13	3	86
0.358616	3	14	3	86
0.367595	5	1	3	86
0.367595	5	2	3	86
0.367595	5	3	3	86
0.367595	5	4	3	86
0.367595	5	5	3	86
0.367595	5	11	3	86
0.367595	5	12	3	86
0.367596	5	13	3	86
0.367596	5	14	3	86
0.367596	5	15	3	86
0.430789	5	1	3	1478
0.43079	5	1	3	1478
0.430791	5	1	3	1478
0.430793	5	1	3	1478
0.430794	5	1	3	1478
0.430795	5	1	3	1478
0.430796	5	1	3	1478
0.430797	5	1	3	1478
0.430799	5	1	3	1478
0.4308	5	1	3	1478
0.430801	5	1	3	1478
0.430802	5	1	3	1478
0.430804	5	1	3	1478
0.430805	5	1	3	1478
0.430806	5	1	3	1478
0.430807	5	1	3	1478
0.430808	5	1	3	1478
0.43081	5	1	3	1478
0.430811	5	1	3	1478
0.430812	5	1	3	1478
0.430813	5	1	3	1478
0.430814	5	1	3	1478
0.430816	5	1	3	1478
0.430817	5	1	3	1478
0.430818	5	1	3	1478
0.430819	5	1	3	1478
0.430821	5	1	3	1478
0.430822	5	1	3	1478
0.430823	5	1	3	1478
0.430824	5	1	3	1478
0.430825	5	1	3	1478
0.430827	5	1	3	1478
0.430828	5	1	3	1478
0.430829	5	1	3	1478
0.43083	5	1	3	1478
0.430831	5	1	3	1478
0.430833	5	1	3	1478
0.430834	5	1	3	1478
0.430835	5	1	3	1478
0.430836	5	1	3	1478
0.430838	5	1	3	1478
0.430839	5	1	3	1478
0.43084	5	1	3	1478
0.430841	5	1	3	1478
0.430842	5	1	3	1478
0.430844	5	1	3	1478
0.430845	5	1	3	1478
0.430846	5	1	3	1478
0.430847	5	1	3	1478
0.430848	5	1	3	1478
0.43085	5	1	3	1478
0.430851	5	1	3	1478
0.430852	5	1	3	1478
0.430853	5	1	3	1478
0.430855	5	1	3	1478
0.430856	5	1	3	1478
0.430857	5	1	3	1478
0.430858	5	1	3	1478
0.430859	5	1	3	1478
0.430861	5	1	3	1478
0.430862	5	1	3	1478
0.430863	5	1	3	1478
0.430864	5	1	3	1478
0.430865	5	1	3	1478
0.430867	5	1	3	1478
0.430868	5	1	3	1478
0.430869	5	1	3	1478
0.43087	5	1	3	1478
0.430872	5	1	3	1478
0.430873	5	1	3	1478
0.430874	5	1	3	1478
0.430875	5	1	3	1478
0.430876	5	1	3	1478
0.430878	5	1	3	1478
0.430879	5	1	3	1478
0.43088	5	1	3	1478
0.430881	5	1	3	1478
0.430882	5	1	3	1478
0.430884	5	1	3	1478
0.430885	5	1	3	1478
0.430886	5	1	3	1478
0.430887	5	1	3	1478
0.430889	5	1	3	1478
0.43089	5	1	3	1478
0.430891	5	1	3	1478
0.430892	5	1	3	1478
0.430893	5	1	3	1478
0.430895	5	1	3	1478
0.430896	5	1	3	1478
0.430897	5	1	3	1478
0.430898	5	1	3	1478
0.430899	5	1	3	1478
0.430901	5	1	3	1478
0.430902	5	1	3	1478
0.430903	5	1	3	1478
0.430904	5	1	3	1478
0.430906	5	1	3	1478
0.430907	5	1	3	1478
0.430908	5	1	3	1478
0.430909	5	1	3	1478
0.43091	5	1	3	1478
0.430912	5	1	3	1478
0.430913	5	1	3	1478
0.430914	5	1	3	1478
0.430915	5	1	3	1478
0.430916	5	1	3	1478
0.430918	5	1	3	1478
0.430919	5	1	3	1478
0.43092	5	1	3	1478
0.430921	5	1	3	1478
0.430923	5	1	3	1478
0.430924	5	1	3	1478
0.430925	5	1	3	1478
0.430926	5	1	3	1478
0.430927	5	1	3	1478
0.430929	5	1	3	1478
0.43093	5	1	3	1478
0.430931	5	1	3	1478
0.430932	5	1	3	1478
0.430933	5	1	3	1478
0.430935	5	1	3	1478
0.430936	5	1	3	1478
0.430937	5	1	3	1478
0.430938	5	1	3	1478
0.43094	5	1	3	1478
0.430941	5	1	3	1478
0.430942	5	1	3	1478
0.430943	5	1	3	1478
0.430944	5	1	3	1478
0.430946	5	1	3	1478
0.430947	5	1	3	1478
0.430948	5	1	3	1478
0.430949	5	1	3	1478
0.43095	5	1	3	1478
0.430952	5	1	3	1478
0.430953	5	1	3	1478
0.430954	5	1	3	1478
0.430955	5	1	3	1478
0.430957	5	1	3	1478
0.430958	5	1	3	1478
0.430959	5	1	3	1478
0.43096	5	1	3	1478
0.430961	5	1	3	1478
0.430963	5	1	3	1478
0.430964	5	1	3	1478
0.430965	5	1	3	1478
0.430966	5	1	3	1478
0.430967	5	1	3	1478
0.430969	5	1	3	1478
0.43097	5	1	3	1478
0.430971	5	1	3	1478
0.430972	5	1	3	1478
0.430974	5	1	3	1478
0.430975	5	1	3	1478
0.430976	5	1	3	1478
0.430977	5	1	3	1478
0.430978	5	1	3	1478
0.43098	5	1	3	1478
0.430981	5	1	3	1478
0.430982	5	1	3	1478
0.430983	5	1	3	1478
0.430984	5	1	3	1478
0.430986	5	1	3	1478
0.430987	5	1	3	1478
0.430988	5	1	3	1478
0.430989	5	1	3	1478
0.430991	5	1	3	1478
0.430992	5	1	3	1478
