time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.309671	1	14	3	11	0.00117143
0.309707	1	1	3	11	0.00120714
0.309743	1	2	3	11	0.00124286
0.309779	1	3	3	11	0.00127857
0.309814	1	4	3	11	0.00131428
0.30985	1	5	3	11	0.00135
0.309886	1	6	3	11	0.00138571
0.309921	1	11	3	11	0.00142143
0.309993	1	12	3	28	0.00149285
0.310064	1	13	3	28	0.00156428
0.310171	1	14	3	11	0.00117143
0.310207	1	1	3	11	0.00120714
0.310243	1	2	3	11	0.00124286
0.310279	1	3	3	11	0.00127857
0.310314	1	4	3	11	0.00131428
0.310386	1	5	3	28	0.00138571
0.310421	1	6	3	11	0.00142143
0.310493	1	11	3	28	0.00149285
0.310529	1	12	3	11	0.00152857
0.310564	1	13	3	11	0.00156428
0.310671	1	14	3	11	0.00117143
0.310707	1	1	3	11	0.00120714
0.310743	1	2	3	11	0.00124286
0.310779	1	3	3	11	0.00127857
0.31085	1	4	3	28	0.00135
0.310886	1	5	3	11	0.00138571
0.310957	1	6	3	28	0.00145714
0.310993	1	11	3	11	0.00149285
0.311029	1	12	3	11	0.00152857
0.311064	1	13	3	11	0.00156428
0.311171	1	14	3	11	0.00117143
0.311207	1	1	3	11	0.00120714
0.311279	1	2	3	28	0.00127857
0.31135	1	3	3	28	0.00135
0.311386	1	4	3	11	0.00138571
0.311421	1	5	3	11	0.00142143
0.311457	1	6	3	11	0.00145714
0.311493	1	11	3	11	0.00149285
0.311529	1	12	3	11	0.00152857
0.311564	1	13	3	11	0.00156428
0.311707	1	14	3	28	0.00120714
0.311779	1	1	3	28	0.00127857
0.311814	1	2	3	11	0.00131428
0.31185	1	3	3	11	0.00135
0.311886	1	4	3	11	0.00138571
0.311921	1	5	3	11	0.00142143
0.311957	1	6	3	11	0.00145714
0.311993	1	11	3	11	0.00149285
0.312029	1	12	3	11	0.00152857
0.312064	1	13	3	11	0.00156428
0.312171	1	14	3	11	0.00117143
0.312207	1	1	3	11	0.00120714
0.312243	1	2	3	11	0.00124286
0.312279	1	3	3	11	0.00127857
0.312314	1	4	3	11	0.00131428
0.31235	1	5	3	11	0.00135
0.312386	1	6	3	11	0.00138571
0.312421	1	11	3	11	0.00142143
0.312493	1	12	3	26	0.00149285
0.312564	1	13	3	26	0.00156428
0.312671	1	14	3	17	0.00117143
0.312707	1	1	3	17	0.00120714
0.312743	1	2	3	17	0.00124286
0.312779	1	3	3	17	0.00127857
0.312814	1	4	3	17	0.00131428
0.31285	1	5	3	17	0.00135
0.312886	1	6	3	17	0.00138571
0.312921	1	11	3	17	0.00142143
0.360171	3	14	3	11	0.00117143
0.360207	3	1	3	11	0.00120714
0.360243	3	2	3	11	0.00124286
0.360279	3	3	3	11	0.00127857
0.360314	3	4	3	11	0.00131428
0.36035	3	5	3	11	0.00135
0.360386	3	6	3	11	0.00138571
0.360421	3	11	3	11	0.00142143
0.360493	3	12	3	28	0.00149285
0.360564	3	13	3	28	0.00156428
0.360671	3	14	3	11	0.00117143
0.360707	3	1	3	11	0.00120714
0.360743	3	2	3	11	0.00124286
0.360779	3	3	3	11	0.00127857
0.360814	3	4	3	11	0.00131428
0.360886	3	5	3	28	0.00138571
0.360921	3	6	3	11	0.00142143
0.360993	3	11	3	28	0.00149285
0.361029	3	12	3	11	0.00152857
0.361064	3	13	3	11	0.00156428
0.361171	3	14	3	11	0.00117143
0.361207	3	1	3	11	0.00120714
0.361243	3	2	3	11	0.00124286
0.361279	3	3	3	11	0.00127857
0.36135	3	4	3	28	0.00135
0.361386	3	5	3	11	0.00138571
0.361457	3	6	3	28	0.00145714
0.361493	3	11	3	11	0.00149285
0.361529	3	12	3	11	0.00152857
0.361564	3	13	3	11	0.00156428
0.361671	3	14	3	11	0.00117143
0.361707	3	1	3	11	0.00120714
0.361743	3	2	3	11	0.00124286
0.361814	3	3	3	28	0.00131428
0.36185	3	4	3	11	0.00135
0.361886	3	5	3	11	0.00138571
0.361921	3	6	3	11	0.00142143
0.361957	3	11	3	11	0.00145714
0.361993	3	12	3	11	0.00149285
0.362029	3	13	3	11	0.00152857
0.362207	3	14	3	28	0.00120714
0.362243	3	1	3	11	0.00124286
0.362314	3	2	3	28	0.00131428
0.36235	3	3	3	11	0.00135
0.362386	3	4	3	11	0.00138571
0.362421	3	5	3	11	0.00142143
0.362457	3	6	3	11	0.00145714
0.362493	3	11	3	11	0.00149285
0.362529	3	12	3	11	0.00152857
0.362564	3	13	3	11	0.00156428
0.362671	3	14	3	11	0.00117143
0.362743	3	1	3	28	0.00124286
0.362779	3	2	3	11	0.00127857
0.362814	3	3	3	11	0.00131428
0.36285	3	4	3	11	0.00135
0.362886	3	5	3	11	0.00138571
0.362921	3	6	3	11	0.00142143
0.362957	3	11	3	11	0.00145714
0.362993	3	12	3	11	0.00149285
0.363064	3	13	3	26	0.00156428
0.363171	3	14	3	17	0.00117143
0.363207	3	1	3	17	0.00120714
0.363243	3	2	3	17	0.00124286
0.363279	3	3	3	17	0.00127857
0.363314	3	4	3	17	0.00131428
0.36335	3	5	3	17	0.00135
0.363386	3	6	3	17	0.00138571
0.363421	3	11	3	17	0.00142143
0.363457	3	12	3	17	0.00145714
0.369171	5	15	3	11	0.00117143
0.369207	5	14	3	11	0.00120714
0.369243	5	1	3	11	0.00124286
0.369279	5	2	3	11	0.00127857
0.369314	5	3	3	11	0.00131428
0.36935	5	4	3	11	0.00135
0.369386	5	5	3	11	0.00138571
0.369421	5	11	3	11	0.00142143
0.369493	5	12	3	28	0.00149285
0.369564	5	13	3	28	0.00156428
0.369671	5	15	3	11	0.00117143
0.369707	5	14	3	11	0.00120714
0.369743	5	1	3	11	0.00124286
0.369779	5	2	3	11	0.00127857
0.369814	5	3	3	11	0.00131428
0.369886	5	4	3	28	0.00138571
0.369921	5	5	3	11	0.00142143
0.369993	5	11	3	28	0.00149285
0.370029	5	12	3	11	0.00152857
0.370064	5	13	3	11	0.00156428
0.370171	5	15	3	11	0.00117143
0.370207	5	14	3	11	0.00120714
0.370243	5	1	3	11	0.00124286
0.370279	5	2	3	11	0.00127857
0.37035	5	3	3	28	0.00135
0.370386	5	4	3	11	0.00138571
0.370457	5	5	3	28	0.00145714
0.370493	5	11	3	11	0.00149285
0.370529	5	12	3	11	0.00152857
0.370564	5	13	3	11	0.00156428
0.370671	5	15	3	11	0.00117143
0.370707	5	14	3	11	0.00120714
0.370779	5	1	3	28	0.00127857
0.37085	5	2	3	28	0.00135
0.370886	5	3	3	11	0.00138571
0.370921	5	4	3	11	0.00142143
0.370957	5	5	3	11	0.00145714
0.370993	5	11	3	11	0.00149285
0.371029	5	12	3	11	0.00152857
0.371064	5	13	3	11	0.00156428
0.371207	5	15	3	28	0.00120714
0.371279	5	14	3	28	0.00127857
0.371314	5	1	3	11	0.00131428
0.37135	5	2	3	11	0.00135
0.371386	5	3	3	11	0.00138571
0.371421	5	4	3	11	0.00142143
0.371457	5	5	3	11	0.00145714
0.371493	5	11	3	11	0.00149285
0.371529	5	12	3	11	0.00152857
0.371564	5	13	3	11	0.00156428
0.371671	5	15	3	11	0.00117143
0.371707	5	14	3	11	0.00120714
0.371743	5	1	3	11	0.00124286
0.371779	5	2	3	11	0.00127857
0.371814	5	3	3	11	0.00131428
0.37185	5	4	3	11	0.00135
0.371886	5	5	3	11	0.00138571
0.371921	5	11	3	11	0.00142143
0.371993	5	12	3	26	0.00149285
0.372064	5	13	3	26	0.00156428
0.372171	5	15	3	17	0.00117143
0.372207	5	14	3	17	0.00120714
0.372243	5	1	3	17	0.00124286
0.372279	5	2	3	17	0.00127857
0.372314	5	3	3	17	0.00131428
0.37235	5	4	3	17	0.00135
0.372386	5	5	3	17	0.00138571
0.372421	5	11	3	17	0.00142143
0.432564	5	1	3	6485	0.00156428
0.433064	5	1	3	6485	0.00156428
0.433564	5	1	3	6485	0.00156428
0.434064	5	1	3	6485	0.00156428
0.434564	5	1	3	6485	0.00156428
0.435064	5	1	3	6485	0.00156428
0.435564	5	1	3	6485	0.00156428
0.436064	5	1	3	6485	0.00156428
0.436564	5	1	3	6485	0.00156428
0.437064	5	1	3	6485	0.00156428
0.437564	5	1	3	6485	0.00156428
0.438064	5	1	3	6485	0.00156428
0.438564	5	1	3	6485	0.00156428
0.439064	5	1	3	6485	0.00156428
0.439564	5	1	3	6485	0.00156428
0.440064	5	1	3	6485	0.00156428
0.440564	5	1	3	6485	0.00156428
0.441064	5	1	3	6485	0.00156428
0.441564	5	1	3	6485	0.00156428
0.442064	5	1	3	6485	0.00156428
0.442564	5	1	3	6485	0.00156428
0.443064	5	1	3	6485	0.00156428
0.443564	5	1	3	6485	0.00156428
0.444064	5	1	3	6485	0.00156428
0.444564	5	1	3	6485	0.00156428
0.445064	5	1	3	6485	0.00156428
0.445564	5	1	3	6485	0.00156428
0.446029	5	1	3	5946	0.00152857
0.446564	5	1	3	6485	0.00156428
0.447029	5	1	3	5946	0.00152857
