time(s)	cellId	rnti	lcid	packetSize
0.3085	1	14	3	11
0.3085	1	1	3	11
0.3085	1	2	3	11
0.3085	1	3	3	11
0.3085	1	4	3	11
0.3085	1	5	3	11
0.3085	1	6	3	11
0.3085	1	11	3	11
0.3085	1	12	3	28
0.3085	1	13	3	28
0.309	1	14	3	11
0.309	1	1	3	11
0.309	1	2	3	11
0.309	1	3	3	11
0.309	1	4	3	11
0.309	1	5	3	28
0.309	1	6	3	11
0.309	1	11	3	28
0.309	1	12	3	11
0.309	1	13	3	11
0.3095	1	14	3	11
0.3095	1	1	3	11
0.3095	1	2	3	11
0.3095	1	3	3	11
0.3095	1	4	3	28
0.3095	1	5	3	11
0.3095	1	6	3	28
0.3095	1	11	3	11
0.3095	1	12	3	11
0.3095	1	13	3	11
0.31	1	14	3	11
0.31	1	1	3	11
0.31	1	2	3	28
0.31	1	3	3	28
0.31	1	4	3	11
0.31	1	5	3	11
0.31	1	6	3	11
0.31	1	11	3	11
0.31	1	12	3	11
0.31	1	13	3	11
0.3105	1	14	3	28
0.3105	1	1	3	28
0.3105	1	2	3	11
0.3105	1	3	3	11
0.3105	1	4	3	11
0.3105	1	5	3	11
0.3105	1	6	3	11
0.3105	1	11	3	11
0.3105	1	12	3	11
0.3105	1	13	3	11
0.311	1	14	3	11
0.311	1	1	3	11
0.311	1	2	3	11
0.311	1	3	3	11
0.311	1	4	3	11
0.311	1	5	3	11
0.311	1	6	3	11
0.311	1	11	3	11
0.311	1	12	3	26
0.311	1	13	3	26
0.3115	1	14	3	17
0.3115	1	1	3	17
0.3115	1	2	3	17
0.3115	1	3	3	17
0.3115	1	4	3	17
0.3115	1	5	3	17
0.3115	1	6	3	17
0.3115	1	11	3	17
0.359	3	14	3	11
0.359	3	1	3	11
0.359	3	2	3	11
0.359	3	3	3	11
0.359	3	4	3	11
0.359	3	5	3	11
0.359	3	6	3	11
0.359	3	11	3	11
0.359	3	12	3	28
0.359	3	13	3	28
0.3595	3	14	3	11
0.3595	3	1	3	11
0.3595	3	2	3	11
0.3595	3	3	3	11
0.3595	3	4	3	11
0.3595	3	5	3	28
0.3595	3	6	3	11
0.3595	3	11	3	28
0.3595	3	12	3	11
0.3595	3	13	3	11
0.36	3	14	3	11
0.36	3	1	3	11
0.36	3	2	3	11
0.36	3	3	3	11
0.36	3	4	3	28
0.36	3	5	3	11
0.36	3	6	3	28
0.36	3	11	3	11
0.36	3	12	3	11
0.36	3	13	3	11
0.3605	3	14	3	11
0.3605	3	1	3	11
0.3605	3	2	3	11
0.3605	3	3	3	28
0.3605	3	4	3	11
0.3605	3	5	3	11
0.3605	3	6	3	11
0.3605	3	11	3	11
0.3605	3	12	3	11
0.3605	3	13	3	11
0.361	3	14	3	28
0.361	3	1	3	11
0.361	3	2	3	28
0.361	3	3	3	11
0.361	3	4	3	11
0.361	3	5	3	11
0.361	3	6	3	11
0.361	3	11	3	11
0.361	3	12	3	11
0.361	3	13	3	11
0.3615	3	14	3	11
0.3615	3	1	3	28
0.3615	3	2	3	11
0.3615	3	3	3	11
0.3615	3	4	3	11
0.3615	3	5	3	11
0.3615	3	6	3	11
0.3615	3	11	3	11
0.3615	3	12	3	11
0.3615	3	13	3	26
0.362	3	14	3	17
0.362	3	1	3	17
0.362	3	2	3	17
0.362	3	3	3	17
0.362	3	4	3	17
0.362	3	5	3	17
0.362	3	6	3	17
0.362	3	11	3	17
0.362	3	12	3	17
