% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.017	1	0	0	6	1	9	0	1	2	0	1	0	0	31
0.017	1	0	0	5	1	9	0	3	2	0	1	0	0	31
0.017	1	0	0	4	1	9	0	5	2	0	1	0	0	31
0.017	1	0	0	3	1	9	0	7	2	0	1	0	0	31
0.017	1	0	0	2	1	9	0	9	2	0	1	0	0	31
0.017	1	0	0	1	1	9	0	11	2	0	1	0	0	31
0.017	3	0	0	6	1	9	0	1	2	0	1	0	0	31
0.017	3	0	0	5	1	9	0	3	2	0	1	0	0	31
0.017	3	0	0	4	1	9	0	5	2	0	1	0	0	31
0.017	3	0	0	3	1	9	0	7	2	0	1	0	0	31
0.017	3	0	0	2	1	9	0	9	2	0	1	0	0	31
0.017	3	0	0	1	1	9	0	11	2	0	1	0	0	31
0.017	5	0	0	5	1	9	0	2	2	0	1	0	0	31
0.017	5	0	0	4	1	9	0	4	2	0	1	0	0	31
0.017	5	0	0	3	1	9	0	6	2	0	1	0	0	31
0.017	5	0	0	2	1	9	0	8	2	0	1	0	0	31
0.017	5	0	0	1	1	9	0	10	2	0	1	0	0	31
0.021	1	0	0	14	2	3	0	4	2	0	1	0	0	31
0.021	1	0	0	13	2	3	0	6	2	0	1	0	0	31
0.021	1	0	0	12	2	3	0	8	2	0	1	0	0	31
0.021	1	0	0	11	2	3	0	10	2	0	1	0	0	31
0.021	3	0	0	14	2	3	0	5	2	0	1	0	0	31
0.021	3	0	0	13	2	3	0	7	2	0	1	0	0	31
0.021	3	0	0	12	2	3	0	9	2	0	1	0	0	31
0.021	3	0	0	11	2	3	0	11	2	0	1	0	0	31
0.021	5	0	0	15	2	3	0	3	2	0	1	0	0	31
0.021	5	0	0	14	2	3	0	5	2	0	1	0	0	31
0.021	5	0	0	13	2	3	0	7	2	0	1	0	0	31
0.021	5	0	0	12	2	3	0	9	2	0	1	0	0	31
0.021	5	0	0	11	2	3	0	11	2	0	1	0	0	31
0.314	1	0	0	12	31	6	0	11	2	15	1	0	0	31
0.3145	1	0	0	13	31	6	1	1	2	15	1	0	0	31
0.3145	1	0	0	11	31	6	1	3	2	15	1	0	0	31
0.3145	1	0	0	6	31	6	1	5	2	15	1	0	0	31
0.3145	1	0	0	5	31	6	1	7	1	15	1	0	0	14
0.3145	1	0	0	4	31	6	1	8	1	15	1	0	0	14
0.3145	1	0	0	3	31	6	1	9	1	15	1	0	0	14
0.3145	1	0	0	2	31	6	1	10	1	15	1	0	0	14
0.3145	1	0	0	1	31	6	1	11	1	15	1	0	0	14
0.3145	1	0	0	14	31	6	1	12	1	15	1	0	0	14
0.315	1	0	0	5	31	7	0	2	2	14	1	0	0	31
0.315	1	0	0	4	31	7	0	4	2	14	1	0	0	31
0.315	1	0	0	3	31	7	0	6	2	14	1	0	0	31
0.315	1	0	0	1	31	7	0	8	2	14	1	0	0	31
0.315	1	0	0	14	31	7	0	10	2	14	1	0	0	31
0.3155	1	0	0	2	31	7	1	10	2	14	1	0	0	31
0.317	1	0	0	13	31	9	0	5	1	15	1	0	15	281
0.317	1	0	0	12	31	9	0	6	1	15	1	0	24	475
0.317	1	0	0	11	31	9	0	7	1	15	1	0	21	399
0.317	1	0	0	6	31	9	0	8	1	15	1	0	21	399
0.317	1	0	0	5	31	9	0	9	1	15	1	0	23	445
0.317	1	0	0	4	31	9	0	10	1	15	1	0	20	387
0.317	1	0	0	3	31	9	0	11	1	15	1	0	8	154
0.317	1	0	0	2	31	9	0	12	1	15	1	0	14	259
0.3175	1	0	0	5	31	9	1	8	1	14	1	0	23	445
0.3175	1	0	0	4	31	9	1	9	1	14	1	0	20	387
0.3175	1	0	0	3	31	9	1	10	1	14	1	0	8	154
0.3175	1	0	0	1	31	9	1	11	1	15	1	0	14	259
0.3175	1	0	0	14	31	9	1	12	1	15	1	0	17	324
0.318	1	0	0	14	32	0	0	12	1	14	1	0	17	324
0.3185	1	0	0	2	32	0	1	12	1	14	1	0	14	259
0.321	1	0	0	2	32	3	0	12	1	14	0	1	14	259
0.365	3	0	0	13	36	7	0	1	2	15	1	0	0	31
0.365	3	0	0	12	36	7	0	3	2	15	1	0	0	31
0.365	3	0	0	11	36	7	0	5	1	15	1	0	0	14
0.365	3	0	0	6	36	7	0	6	1	15	1	0	0	14
0.365	3	0	0	5	36	7	0	7	1	15	1	0	0	14
0.365	3	0	0	4	36	7	0	8	1	15	1	0	0	14
0.365	3	0	0	3	36	7	0	9	1	15	1	0	0	14
0.365	3	0	0	2	36	7	0	10	1	15	1	0	0	14
0.365	3	0	0	1	36	7	0	11	1	15	1	0	0	14
0.365	3	0	0	14	36	7	0	12	1	15	1	0	0	14
