time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.319314	1	13	3	86	0.00675
0.31935	1	12	3	86	0.00685714
0.319386	1	11	3	86	0.00646429
0.319421	1	6	3	86	0.00653571
0.319457	1	5	3	86	0.00660714
0.319493	1	4	3	86	0.00667857
0.319529	1	3	3	86	0.00675
0.319564	1	2	3	86	0.00682143
0.320029	1	1	3	86	0.00732143
0.320064	1	14	3	86	0.00739285
0.369814	3	13	3	86	0.00675
0.36985	3	12	3	86	0.00639286
0.369886	3	11	3	86	0.00646429
0.369957	3	5	3	86	0.00660714
0.369993	3	4	3	86	0.00667857
0.370029	3	3	3	86	0.00675
0.370064	3	2	3	86	0.00682143
0.370529	3	1	3	86	0.00732143
0.370564	3	14	3	86	0.00739285
0.372564	3	6	3	86	0.00917857
0.378814	5	13	3	86	0.00675
0.37885	5	12	3	86	0.00685714
0.378886	5	11	3	86	0.00646429
0.378921	5	5	3	86	0.00653571
0.378957	5	4	3	86	0.00660714
0.378993	5	3	3	86	0.00667857
0.379029	5	2	3	86	0.00675
0.379064	5	1	3	86	0.00682143
0.379529	5	14	3	86	0.00732143
0.379564	5	15	3	86	0.00739285
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.01
2.61106	1	1	3	58	0.0095
2.61106	1	1	3	58	0.0095
2.61106	1	1	3	58	0.0095
2.61106	1	1	3	58	0.0095
2.61106	1	1	3	58	0.009
2.61106	1	1	3	58	0.009
2.61106	1	1	3	58	0.009
2.61106	1	1	3	58	0.0085
2.61106	1	1	3	58	0.0085
2.61106	1	1	3	58	0.0085
2.61106	1	1	3	58	0.0085
2.61106	1	1	3	58	0.00803571
2.61106	1	1	3	58	0.00803571
2.61106	1	1	3	58	0.00803571
2.61106	1	1	3	58	0.0075
2.61106	1	1	3	58	0.0075
2.61106	1	1	3	58	0.0075
2.61106	1	1	3	58	0.0075
2.61106	1	1	3	58	0.007
2.61106	1	1	3	58	0.007
2.61106	1	1	3	58	0.007
2.61106	1	1	3	58	0.0065
2.61106	1	1	3	58	0.0065
2.61106	1	1	3	58	0.0065
2.61106	1	1	3	58	0.0065
2.61106	1	1	3	58	0.006
2.61106	1	1	3	58	0.006
2.61106	1	1	3	58	0.006
2.61106	1	1	3	58	0.006
2.61106	1	1	3	58	0.00557143
2.61403	1	1	3	58	0.00853571
2.61403	1	1	3	58	0.00853571
2.61403	1	1	3	58	0.00796429
2.61403	1	1	3	58	0.00796429
2.61403	1	1	3	58	0.00796429
2.61403	1	1	3	58	0.0075
2.61403	1	1	3	58	0.0075
2.61403	1	1	3	58	0.0075
2.61403	1	1	3	58	0.0075
2.61403	1	1	3	58	0.00696429
2.61403	1	1	3	58	0.00696429
2.61403	1	1	3	58	0.00696429
2.61403	1	1	3	58	0.00646429
2.61403	1	1	3	58	0.00646429
2.61403	1	1	3	58	0.00646429
2.61403	1	1	3	58	0.00646429
2.61403	1	1	3	58	0.00596429
2.61403	1	1	3	58	0.00596429
2.61403	1	1	3	58	0.00596429
2.61403	1	1	3	58	0.00596429
2.61403	1	1	3	58	0.00496429
2.61403	1	1	3	58	0.00496429
2.61403	1	1	3	58	0.00496429
2.61403	1	1	3	58	0.00496429
2.61403	1	1	3	58	0.00446429
2.61403	1	1	3	58	0.00446429
2.61706	1	1	3	58	0.0075
2.61706	1	1	3	58	0.00703571
2.61706	1	1	3	58	0.00703571
2.61706	1	1	3	58	0.00703571
2.61706	1	1	3	58	0.0065
2.61706	1	1	3	58	0.0065
2.61706	1	1	3	58	0.0065
2.61706	1	1	3	58	0.0065
2.61706	1	1	3	58	0.0055
2.61706	1	1	3	58	0.0055
2.61706	1	1	3	58	0.0055
2.61706	1	1	3	58	0.0055
2.61706	1	1	3	58	0.005
2.61706	1	1	3	58	0.005
2.61706	1	1	3	58	0.005
2.61706	1	1	3	58	0.005
2.61706	1	1	3	58	0.0045
2.61706	1	1	3	58	0.0045
2.62006	1	1	3	58	0.0075
2.62006	1	1	3	58	0.007
2.62006	1	1	3	58	0.007
2.62006	1	1	3	58	0.007
2.62006	1	1	3	58	0.007
2.62006	1	1	3	58	0.00653571
2.62006	1	1	3	58	0.00653571
2.62006	1	1	3	58	0.00653571
2.62006	1	1	3	58	0.00625
2.62006	1	1	3	58	0.00625
2.62006	1	1	3	58	0.0055
2.62006	1	1	3	58	0.0055
2.62006	1	1	3	58	0.0055
2.62006	1	1	3	58	0.005
2.62006	1	1	3	58	0.005
2.62006	1	1	3	58	0.005
2.62006	1	1	3	58	0.005
2.62306	1	1	3	58	0.0075
2.62306	1	1	3	58	0.0075
2.62306	1	1	3	58	0.0075
2.62306	1	1	3	58	0.0075
2.62306	1	1	3	58	0.00703571
2.62306	1	1	3	58	0.00703571
2.62306	1	1	3	58	0.00703571
2.62306	1	1	3	58	0.0065
2.62306	1	1	3	58	0.0065
2.62306	1	1	3	58	0.0065
2.62306	1	1	3	58	0.0065
2.62306	1	1	3	58	0.00614286
2.62306	1	1	3	58	0.00614286
2.62306	1	1	3	58	0.0055
2.62306	1	1	3	58	0.0055
2.62306	1	1	3	58	0.0055
2.62306	1	1	3	58	0.0055
2.62306	1	1	3	58	0.005
2.62306	1	1	3	58	0.005
2.62306	1	1	3	58	0.005
2.62306	1	1	3	58	0.0045
2.62306	1	1	3	58	0.0045
2.62306	1	1	3	58	0.0045
2.62306	1	1	3	58	0.0045
2.62306	1	1	3	58	0.004
2.62306	1	1	3	58	0.004
2.62606	1	1	3	58	0.007
2.62606	1	1	3	58	0.0065
2.62606	1	1	3	58	0.0065
2.62606	1	1	3	58	0.0065
2.62606	1	1	3	58	0.0065
2.62606	1	1	3	58	0.00614286
2.62606	1	1	3	58	0.00614286
2.62606	1	1	3	58	0.00614286
2.62606	1	1	3	58	0.0055
2.62606	1	1	3	58	0.0055
2.62606	1	1	3	58	0.0055
2.62606	1	1	3	58	0.005
2.62606	1	1	3	58	0.005
2.62606	1	1	3	58	0.005
2.62606	1	1	3	58	0.005
2.62606	1	1	3	58	0.0045
2.62606	1	1	3	58	0.0045
2.62606	1	1	3	58	0.0045
2.62906	1	1	3	58	0.007
2.62906	1	1	3	58	0.007
2.62906	1	1	3	58	0.007
2.62906	1	1	3	58	0.007
2.62906	1	1	3	58	0.0065
2.62906	1	1	3	58	0.0065
2.62906	1	1	3	58	0.0065
2.62906	1	1	3	58	0.0065
2.62906	1	1	3	58	0.00621428
2.62906	1	1	3	58	0.00553571
2.62906	1	1	3	58	0.00553571
2.62906	1	1	3	58	0.00553571
2.62906	1	1	3	58	0.00553571
2.62906	1	1	3	58	0.005
2.62906	1	1	3	58	0.005
2.62906	1	1	3	58	0.005
2.62906	1	1	3	58	0.0045
2.63456	1	1	3	58	0.01
2.63456	1	1	3	58	0.01
2.63456	1	1	3	58	0.01
2.63456	1	1	3	58	0.0095
2.63456	1	1	3	58	0.0095
2.63456	1	1	3	58	0.0095
2.63456	1	1	3	58	0.0095
2.63456	1	1	3	58	0.009
2.63456	1	1	3	58	0.009
2.63456	1	1	3	58	0.009
2.63456	1	1	3	58	0.00885714
