time(s)	cellId	rnti	lcid	packetSize
0.312493	1	12	3	86
0.312564	1	13	3	86
0.312671	1	14	3	86
0.312707	1	1	3	86
0.312743	1	2	3	86
0.312779	1	3	3	86
0.312814	1	4	3	86
0.31285	1	5	3	86
0.312886	1	6	3	86
0.312921	1	11	3	86
0.363064	3	13	3	86
0.363171	3	14	3	86
0.363207	3	1	3	86
0.363243	3	2	3	86
0.363279	3	3	3	86
0.363314	3	4	3	86
0.36335	3	5	3	86
0.363386	3	6	3	86
0.363421	3	11	3	86
0.363457	3	12	3	86
0.371993	5	12	3	86
0.372064	5	13	3	86
0.372171	5	15	3	86
0.372207	5	14	3	86
0.372243	5	1	3	86
0.372279	5	2	3	86
0.372314	5	3	3	86
0.37235	5	4	3	86
0.372386	5	5	3	86
0.372421	5	11	3	86
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60106	1	1	3	58
2.60156	1	1	3	58
2.60156	1	1	3	58
2.60156	1	1	3	58
2.60156	1	1	3	58
2.60206	1	1	3	58
2.60206	1	1	3	58
2.60206	1	1	3	58
2.60256	1	1	3	58
2.60256	1	1	3	58
2.60256	1	1	3	58
2.60256	1	1	3	58
2.60303	1	1	3	58
2.60303	1	1	3	58
2.60303	1	1	3	58
2.60356	1	1	3	58
2.60356	1	1	3	58
2.60356	1	1	3	58
2.60356	1	1	3	58
2.60406	1	1	3	58
2.60406	1	1	3	58
2.60406	1	1	3	58
2.60456	1	1	3	58
2.60456	1	1	3	58
2.60456	1	1	3	58
2.60456	1	1	3	58
2.60506	1	1	3	58
2.60506	1	1	3	58
2.60506	1	1	3	58
2.60506	1	1	3	58
2.60549	1	1	3	58
2.60549	1	1	3	58
2.60549	1	1	3	58
2.60606	1	1	3	58
2.60606	1	1	3	58
2.60606	1	1	3	58
2.60653	1	1	3	58
2.60653	1	1	3	58
2.60653	1	1	3	58
2.60653	1	1	3	58
2.60706	1	1	3	58
2.60706	1	1	3	58
2.60706	1	1	3	58
2.60756	1	1	3	58
2.60756	1	1	3	58
2.60756	1	1	3	58
2.60756	1	1	3	58
2.60806	1	1	3	58
2.60806	1	1	3	58
2.60806	1	1	3	58
2.60806	1	1	3	58
2.60906	1	1	3	58
2.60906	1	1	3	58
2.60906	1	1	3	58
2.60906	1	1	3	58
2.60956	1	1	3	58
2.60956	1	1	3	58
2.60956	1	1	3	58
2.61003	1	1	3	58
2.61003	1	1	3	58
2.61003	1	1	3	58
2.61056	1	1	3	58
2.61056	1	1	3	58
2.61056	1	1	3	58
2.61056	1	1	3	58
2.61156	1	1	3	58
2.61156	1	1	3	58
2.61156	1	1	3	58
2.61156	1	1	3	58
2.61206	1	1	3	58
2.61206	1	1	3	58
2.61206	1	1	3	58
2.61206	1	1	3	58
2.61256	1	1	3	58
2.61256	1	1	3	58
2.61256	1	1	3	58
2.61306	1	1	3	58
2.61306	1	1	3	58
2.61306	1	1	3	58
2.61306	1	1	3	58
2.61353	1	1	3	58
2.61353	1	1	3	58
2.61353	1	1	3	58
2.61381	1	1	3	58
2.61381	1	1	3	58
2.61456	1	1	3	58
2.61456	1	1	3	58
2.61456	1	1	3	58
2.61506	1	1	3	58
2.61506	1	1	3	58
2.61506	1	1	3	58
2.61506	1	1	3	58
2.61556	1	1	3	58
2.61556	1	1	3	58
2.61556	1	1	3	58
2.61556	1	1	3	58
2.61603	1	1	3	58
2.61603	1	1	3	58
2.61603	1	1	3	58
2.61656	1	1	3	58
2.61656	1	1	3	58
2.61656	1	1	3	58
2.61656	1	1	3	58
2.61692	1	1	3	58
2.61692	1	1	3	58
2.61756	1	1	3	58
2.61756	1	1	3	58
2.61756	1	1	3	58
2.61756	1	1	3	58
2.61806	1	1	3	58
2.61806	1	1	3	58
2.61806	1	1	3	58
2.61856	1	1	3	58
2.61856	1	1	3	58
2.61856	1	1	3	58
2.61856	1	1	3	58
2.61906	1	1	3	58
2.61906	1	1	3	58
2.61906	1	1	3	58
2.61956	1	1	3	58
2.61956	1	1	3	58
2.61956	1	1	3	58
2.61956	1	1	3	58
2.61992	1	1	3	58
2.61992	1	1	3	58
2.61992	1	1	3	58
2.62056	1	1	3	58
2.62056	1	1	3	58
2.62056	1	1	3	58
2.62106	1	1	3	58
2.62106	1	1	3	58
2.62106	1	1	3	58
2.62106	1	1	3	58
2.62156	1	1	3	58
2.62156	1	1	3	58
2.62156	1	1	3	58
2.62206	1	1	3	58
2.62206	1	1	3	58
2.62206	1	1	3	58
2.62206	1	1	3	58
2.62256	1	1	3	58
2.62256	1	1	3	58
2.62256	1	1	3	58
2.62256	1	1	3	58
2.62285	1	1	3	58
2.62353	1	1	3	58
2.62353	1	1	3	58
2.62353	1	1	3	58
2.62353	1	1	3	58
2.62406	1	1	3	58
2.62406	1	1	3	58
2.62406	1	1	3	58
2.62456	1	1	3	58
2.62456	1	1	3	58
2.62456	1	1	3	58
2.62456	1	1	3	58
2.62506	1	1	3	58
2.62506	1	1	3	58
2.62506	1	1	3	58
2.62506	1	1	3	58
2.62556	1	1	3	58
2.62556	1	1	3	58
2.62556	1	1	3	58
2.62571	1	1	3	58
