time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.316564	1	12	3	23	0.00152857
0.316707	1	13	3	23	0.00117143
0.316779	1	11	3	23	0.00124286
0.31685	1	6	3	23	0.00131428
0.317243	1	5	3	23	0.00120714
0.317314	1	4	3	23	0.00127857
0.317386	1	3	3	23	0.00135
0.317457	1	1	3	23	0.00142143
0.317529	1	14	3	23	0.00149285
0.318029	1	2	3	23	0.00149285
0.319314	1	13	3	67	0.00127857
0.31935	1	12	3	67	0.00131428
0.319386	1	11	3	67	0.00135
0.319421	1	6	3	67	0.00138571
0.319457	1	5	3	67	0.00142143
0.319493	1	4	3	67	0.00145714
0.319529	1	3	3	67	0.00149285
0.319564	1	2	3	67	0.00152857
0.320029	1	1	3	67	0.00149285
0.320064	1	14	3	67	0.00152857
0.367207	3	13	3	23	0.00117143
0.367279	3	12	3	23	0.00124286
0.367707	3	11	3	23	0.00117143
0.367779	3	6	3	23	0.00124286
0.36785	3	5	3	23	0.00131428
0.367921	3	4	3	23	0.00138571
0.36835	3	3	3	23	0.00131428
0.368421	3	2	3	23	0.00138571
0.368493	3	1	3	23	0.00145714
0.368564	3	14	3	23	0.00152857
0.369814	3	13	3	67	0.00127857
0.36985	3	12	3	67	0.00131428
0.369886	3	11	3	67	0.00135
0.369957	3	5	3	67	0.00142143
0.369993	3	4	3	67	0.00145714
0.370029	3	3	3	67	0.00149285
0.370064	3	2	3	67	0.00152857
0.370529	3	1	3	67	0.00149285
0.370564	3	14	3	67	0.00152857
0.372564	3	6	3	67	0.00402857
0.376064	5	12	3	23	0.00152857
0.376207	5	13	3	23	0.00117143
0.376279	5	11	3	23	0.00124286
0.37635	5	5	3	23	0.00131428
0.376707	5	4	3	23	0.00117143
0.376779	5	3	3	23	0.00124286
0.37685	5	2	3	23	0.00131428
0.376921	5	1	3	23	0.00138571
0.376993	5	14	3	23	0.00145714
0.377064	5	15	3	23	0.00152857
0.378814	5	13	3	67	0.00127857
0.37885	5	12	3	67	0.00131428
0.378886	5	11	3	67	0.00135
0.378921	5	5	3	67	0.00138571
0.378957	5	4	3	67	0.00142143
0.378993	5	3	3	67	0.00145714
0.379029	5	2	3	67	0.00149285
0.379064	5	1	3	67	0.00152857
0.379529	5	14	3	67	0.00149285
0.379564	5	15	3	67	0.00152857
2.60556	1	1	3	23	0.00152857
2.61106	1	1	3	2871	0.00402857
2.61403	1	1	3	1563	0.00149285
2.61706	1	1	3	1038	0.00152857
2.62006	1	1	3	1038	0.00152857
2.62306	1	1	3	1563	0.00152857
2.62606	1	1	3	1038	0.00152857
2.62906	1	1	3	1038	0.00152857
2.63456	1	1	3	615	0.00402857
