time(s)	cellId	rnti	lcid	packetSize
0.315036	1	12	3	23
0.315536	1	6	3	23
0.315536	1	11	3	23
0.315536	1	13	3	23
0.316036	1	1	3	23
0.316036	1	3	3	23
0.316036	1	4	3	23
0.316036	1	5	3	23
0.316036	1	14	3	23
0.316536	1	2	3	23
0.318036	1	2	3	67
0.318036	1	3	3	67
0.318036	1	4	3	67
0.318036	1	5	3	67
0.318036	1	6	3	67
0.318036	1	11	3	67
0.318036	1	12	3	67
0.318036	1	13	3	67
0.318536	1	1	3	67
0.318536	1	14	3	67
0.366036	3	12	3	23
0.366036	3	13	3	23
0.366536	3	4	3	23
0.366536	3	5	3	23
0.366536	3	6	3	23
0.366536	3	11	3	23
0.367036	3	1	3	23
0.367036	3	2	3	23
0.367036	3	3	3	23
0.367036	3	14	3	23
0.368536	3	2	3	67
0.368536	3	3	3	67
0.368536	3	4	3	67
0.368536	3	5	3	67
0.368536	3	6	3	67
0.368536	3	11	3	67
0.368536	3	12	3	67
0.368536	3	13	3	67
0.369036	3	1	3	67
0.369036	3	14	3	67
0.374536	5	12	3	23
0.375036	5	5	3	23
0.375036	5	11	3	23
0.375036	5	13	3	23
0.375536	5	1	3	23
0.375536	5	2	3	23
0.375536	5	3	3	23
0.375536	5	4	3	23
0.375536	5	14	3	23
0.375536	5	15	3	23
0.377536	5	1	3	67
0.377536	5	2	3	67
0.377536	5	3	3	67
0.377536	5	4	3	67
0.377536	5	5	3	67
0.377536	5	11	3	67
0.377536	5	12	3	67
0.377536	5	13	3	67
0.378036	5	14	3	67
0.378036	5	15	3	67
2.60404	1	1	3	23
2.60704	1	1	3	2871
2.61254	1	1	3	1563
2.61554	1	1	3	1038
2.61854	1	1	3	1038
2.62154	1	1	3	1563
2.62454	1	1	3	1038
2.62754	1	1	3	1038
2.63054	1	1	3	615
