Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.309571	DL	30	9	1	1	1	1	0	14	14	0	1	0	36.7984	14	0	0
0.309607	DL	30	9	1	2	1	1	0	1	14	0	1	0	27.0644	13	0	0
0.309643	DL	30	9	1	3	1	1	0	2	14	0	1	0	29.3224	13	0	0
0.309679	DL	30	9	1	4	1	1	0	3	14	0	1	0	21.7824	9	0	0
0.309714	DL	30	9	1	5	1	1	0	4	14	0	1	0	31.6908	15	0	0
0.30975	DL	30	9	1	6	1	1	0	5	14	0	1	0	34.5371	15	0	0
0.309786	DL	30	9	1	7	1	1	0	6	14	0	1	0	36.1918	15	0	0
0.309821	DL	30	9	1	8	1	1	0	11	14	0	1	0	32.2701	15	0	0
0.309893	DL	30	9	1	9	2	1	0	12	31	0	1	0	37.6759	15	0	0
0.309964	DL	30	9	1	11	2	1	0	13	31	0	1	0	32.1922	10	0	0
0.310071	DL	31	0	0	1	1	1	0	14	14	0	1	0	36.7984	14	0	0
0.310107	DL	31	0	0	2	1	1	0	1	14	0	1	0	27.0644	13	0	0
0.310143	DL	31	0	0	3	1	1	0	2	14	0	1	0	29.3224	13	0	0
0.310179	DL	31	0	0	4	1	1	0	3	14	0	1	0	21.7824	9	0	0
0.310214	DL	31	0	0	5	1	1	0	4	14	0	1	0	31.6908	15	0	0
0.310286	DL	31	0	0	6	2	1	0	5	31	0	1	0	34.5371	15	0	0
0.310321	DL	31	0	0	8	1	1	0	6	14	0	1	0	36.1918	15	0	0
0.310393	DL	31	0	0	9	2	1	0	11	31	0	1	0	32.2701	15	0	0
0.310429	DL	31	0	0	11	1	1	0	12	14	0	1	0	37.6759	15	0	0
0.310464	DL	31	0	0	12	1	1	0	13	14	0	1	0	32.1922	10	0	0
0.310571	DL	31	0	1	1	1	1	0	14	14	0	1	0	36.7984	14	0	0
0.310607	DL	31	0	1	2	1	1	0	1	14	0	1	0	27.0644	13	0	0
0.310643	DL	31	0	1	3	1	1	0	2	14	0	1	0	29.3224	13	0	0
0.310679	DL	31	0	1	4	1	1	0	3	14	0	1	0	21.7824	9	0	0
0.31075	DL	31	0	1	5	2	1	0	4	31	0	1	0	31.6908	15	0	0
0.310786	DL	31	0	1	7	1	1	0	5	14	0	1	0	34.5371	15	0	0
0.310857	DL	31	0	1	8	2	1	0	6	31	0	1	0	36.1918	15	0	0
0.310893	DL	31	0	1	10	1	1	0	11	14	0	1	0	32.2701	15	0	0
0.310929	DL	31	0	1	11	1	1	0	12	14	0	1	0	37.6759	15	0	0
0.310964	DL	31	0	1	12	1	1	0	13	14	0	1	0	32.1922	10	0	0
0.311071	DL	31	1	0	1	1	1	0	14	14	0	1	0	36.7984	14	0	0
0.311107	DL	31	1	0	2	1	1	0	1	14	0	1	0	27.0644	13	0	0
0.311179	DL	31	1	0	3	2	1	0	2	31	0	1	0	29.3224	13	0	0
0.31125	DL	31	1	0	5	2	1	0	3	31	0	1	0	21.7824	9	0	0
0.311286	DL	31	1	0	7	1	1	0	4	14	0	1	0	31.6908	15	0	0
0.311321	DL	31	1	0	8	1	1	0	5	14	0	1	0	34.5371	15	0	0
0.311357	DL	31	1	0	9	1	1	0	6	14	0	1	0	36.1918	15	0	0
0.311393	DL	31	1	0	10	1	1	0	11	14	0	1	0	32.2701	15	0	0
0.311429	DL	31	1	0	11	1	1	0	12	14	0	1	0	37.6759	15	0	0
0.311464	DL	31	1	0	12	1	1	0	13	14	0	1	0	32.1922	10	0	0
0.311607	DL	31	1	1	1	2	1	0	14	31	0	1	0	36.7984	14	0	0
0.311679	DL	31	1	1	3	2	1	0	1	31	0	1	0	27.0644	13	0	0
0.311714	DL	31	1	1	5	1	1	0	2	14	0	1	0	29.3224	13	0	0
0.31175	DL	31	1	1	6	1	1	0	3	14	0	1	0	21.7824	9	0	0
0.311786	DL	31	1	1	7	1	1	0	4	14	0	1	0	31.6908	15	0	0
0.311821	DL	31	1	1	8	1	1	0	5	14	0	1	0	34.5371	15	0	0
0.311857	DL	31	1	1	9	1	1	0	6	14	0	1	0	36.1918	15	0	0
0.311893	DL	31	1	1	10	1	1	0	11	14	0	1	0	32.2701	15	0	0
0.311929	DL	31	1	1	11	1	1	0	12	14	0	1	0	37.6759	15	0	0
0.311964	DL	31	1	1	12	1	1	0	13	14	0	1	0	32.1922	10	0	0
0.312071	DL	31	2	0	1	1	1	0	14	14	0	1	0	36.7984	14	0	0
0.312107	DL	31	2	0	2	1	1	0	1	14	0	1	0	27.0644	13	0	0
0.312143	DL	31	2	0	3	1	1	0	2	14	0	1	0	29.3224	13	0	0
0.312179	DL	31	2	0	4	1	1	0	3	14	0	1	0	21.7824	9	0	0
0.312214	DL	31	2	0	5	1	1	0	4	14	0	1	0	31.6908	15	0	0
0.31225	DL	31	2	0	6	1	1	0	5	14	0	1	0	34.5371	15	0	0
0.312286	DL	31	2	0	7	1	1	0	6	14	0	1	0	36.1918	15	0	0
0.312321	DL	31	2	0	8	1	1	0	11	14	0	1	0	32.2701	15	0	0
0.312393	DL	31	2	0	9	2	1	0	12	31	0	1	0	37.6759	15	0	0
0.312464	DL	31	2	0	11	2	1	0	13	31	0	1	0	32.1922	10	0	0
0.312571	DL	31	2	1	1	1	1	0	14	498	25	1	0	36.7984	14	0	0.001
0.312607	DL	31	2	1	2	1	1	0	1	445	23	1	0	27.0644	13	0	0.0001
0.312643	DL	31	2	1	3	1	1	0	2	445	23	1	0	29.3224	13	0	0.0124
0.312679	DL	31	2	1	4	1	1	0	3	281	15	1	0	21.7824	9	0	0.0003
0.312714	DL	31	2	1	5	1	1	0	4	539	27	1	0	31.6908	15	0	0
0.31275	DL	31	2	1	6	1	1	0	5	539	27	1	0	34.5371	15	0	0
0.312786	DL	31	2	1	7	1	1	0	6	539	27	1	0	36.1918	15	0	0
0.312821	DL	31	2	1	8	1	1	0	11	539	27	1	0	32.2701	15	0	0
0.316464	UL	31	6	0	11	2	1	0	12	31	0	1	0	27.6759	255	0	0
0.316464	UL	31	6	0	11	2	1	0	12	31	0	1	0	27.6759	255	0	0
0.316607	UL	31	6	1	1	2	1	0	13	31	0	1	0	22.1922	255	0	0
0.316607	UL	31	6	1	1	2	1	0	13	31	0	1	0	22.1922	255	0	0
0.316679	UL	31	6	1	3	2	1	0	11	31	0	1	0	22.2701	255	0	0
0.316679	UL	31	6	1	3	2	1	0	11	31	0	1	0	22.2701	255	0	0
0.31675	UL	31	6	1	5	2	1	0	6	31	0	1	0	26.1918	255	0	0
0.31675	UL	31	6	1	5	2	1	0	6	31	0	1	0	26.1918	255	0	0
0.316786	UL	31	6	1	7	1	1	0	5	14	0	1	0	24.5371	255	0	0
0.316821	UL	31	6	1	8	1	1	0	4	14	0	1	0	21.6908	255	0	0
0.316857	UL	31	6	1	9	1	1	0	3	14	0	1	0	11.7824	255	0	0
0.316893	UL	31	6	1	10	1	1	0	2	14	0	1	0	19.3224	255	0	0
0.316929	UL	31	6	1	11	1	1	0	1	14	0	1	0	17.0644	255	0	0
0.316964	UL	31	6	1	12	1	1	0	14	14	0	1	0	26.7984	255	0	0
0.317143	UL	31	7	0	2	2	1	0	5	31	0	1	0	24.5371	255	0	0
0.317143	UL	31	7	0	2	2	1	0	5	31	0	1	0	24.5371	255	0	0
0.317214	UL	31	7	0	4	2	1	0	4	31	0	1	0	21.6908	255	0	0
0.317214	UL	31	7	0	4	2	1	0	4	31	0	1	0	21.6908	255	0	0
0.317286	UL	31	7	0	6	2	1	0	3	31	0	1	0	11.7824	255	0	0
0.317286	UL	31	7	0	6	2	1	0	3	31	0	1	0	11.7824	255	0	0
0.317357	UL	31	7	0	8	2	1	0	1	31	0	1	0	17.0644	255	0	0
0.317357	UL	31	7	0	8	2	1	0	1	31	0	1	0	17.0644	255	0	0
0.317429	UL	31	7	0	10	2	1	0	14	31	0	1	0	26.7984	255	0	0
0.317429	UL	31	7	0	10	2	1	0	14	31	0	1	0	26.7984	255	0	0
0.317929	UL	31	7	1	10	2	1	0	2	31	0	1	0	19.3224	255	0	0
0.317929	UL	31	7	1	10	2	1	0	2	31	0	1	0	19.3224	255	0	0
0.319214	UL	31	9	0	5	1	1	0	13	281	15	1	0	22.1922	255	0	0.0418
0.319214	UL	31	9	0	5	1	1	0	13	281	15	1	0	22.1922	255	0	0.0418
0.31925	UL	31	9	0	6	1	1	0	12	475	24	1	0	27.6759	255	0	0.0038
0.31925	UL	31	9	0	6	1	1	0	12	475	24	1	0	27.6759	255	0	0.0038
0.319286	UL	31	9	0	7	1	1	0	11	399	21	1	0	22.2701	255	0	0.0001
0.319286	UL	31	9	0	7	1	1	0	11	399	21	1	0	22.2701	255	0	0.0001
0.319321	UL	31	9	0	8	1	1	0	6	399	21	1	0	26.1918	255	0	0.0102
0.319321	UL	31	9	0	8	1	1	0	6	399	21	1	0	26.1918	255	0	0.0102
0.319357	UL	31	9	0	9	1	1	0	5	445	23	1	0	24.5371	255	0	0.0124
0.319357	UL	31	9	0	9	1	1	0	5	445	23	1	0	24.5371	255	0	0.0124
0.319393	UL	31	9	0	10	1	1	0	4	387	20	1	0	21.6908	255	0	0.0951705
0.319393	UL	31	9	0	10	1	1	0	4	387	20	1	0	21.6908	255	0	0.0951705
0.319429	UL	31	9	0	11	1	1	0	3	154	8	1	0	11.7824	255	0	0.0224
0.319429	UL	31	9	0	11	1	1	0	3	154	8	1	0	11.7824	255	0	0.0224
0.319464	UL	31	9	0	12	1	1	0	2	259	14	1	0	19.3224	255	0	0.0593
0.319464	UL	31	9	0	12	1	1	0	2	259	14	1	0	19.3224	255	0	0.0593
0.319821	UL	31	9	1	8	1	1	0	5	445	23	1	0	24.5371	255	0	0.0124
0.319857	UL	31	9	1	9	1	1	0	4	387	20	1	0	21.6908	255	0	0.0951705
0.319893	UL	31	9	1	10	1	1	0	3	154	8	1	0	11.7824	255	0	0.0224
0.319929	UL	31	9	1	11	1	1	0	1	259	14	1	0	17.0644	255	0	0.0593
0.319929	UL	31	9	1	11	1	1	0	1	259	14	1	0	17.0644	255	0	0.0593
0.319964	UL	31	9	1	12	1	1	0	14	324	17	1	0	26.7984	255	0	0.0159
0.319964	UL	31	9	1	12	1	1	0	14	324	17	1	0	26.7984	255	0	0.0159
0.320464	UL	32	0	0	12	1	1	0	14	324	17	1	0	26.7984	255	0	0.0159
0.320964	UL	32	0	1	12	1	1	0	2	259	14	1	0	19.3224	255	1	0.0593
0.323464	UL	32	3	0	12	1	1	0	2	259	14	1	1	19.3224	255	0	0
0.360071	DL	36	0	0	1	1	3	0	14	14	0	1	0	45.9729	15	0	0
0.360107	DL	36	0	0	2	1	3	0	1	14	0	1	0	31.0734	15	0	0
0.360143	DL	36	0	0	3	1	3	0	2	14	0	1	0	38.853	15	0	0
0.360179	DL	36	0	0	4	1	3	0	3	14	0	1	0	32.0609	13	0	0
0.360214	DL	36	0	0	5	1	3	0	4	14	0	1	0	33.2581	15	0	0
0.36025	DL	36	0	0	6	1	3	0	5	14	0	1	0	21.7787	8	0	0
0.360286	DL	36	0	0	7	1	3	0	6	14	0	1	0	28.694	13	0	0
0.360321	DL	36	0	0	8	1	3	0	11	14	0	1	0	30.2136	14	0	0
0.360393	DL	36	0	0	9	2	3	0	12	31	0	1	0	31.8638	13	0	0
0.360464	DL	36	0	0	11	2	3	0	13	31	0	1	0	35.3859	15	0	0
0.360571	DL	36	0	1	1	1	3	0	14	14	0	1	0	45.9729	15	0	0
0.360607	DL	36	0	1	2	1	3	0	1	14	0	1	0	31.0734	15	0	0
0.360643	DL	36	0	1	3	1	3	0	2	14	0	1	0	38.853	15	0	0
0.360679	DL	36	0	1	4	1	3	0	3	14	0	1	0	32.0609	13	0	0
0.360714	DL	36	0	1	5	1	3	0	4	14	0	1	0	33.2581	15	0	0
0.360786	DL	36	0	1	6	2	3	0	5	31	0	1	0	21.7787	8	0	0
0.360821	DL	36	0	1	8	1	3	0	6	14	0	1	0	28.694	13	0	0
0.360893	DL	36	0	1	9	2	3	0	11	31	0	1	0	30.2136	14	0	0
0.360929	DL	36	0	1	11	1	3	0	12	14	0	1	0	31.8638	13	0	0
0.360964	DL	36	0	1	12	1	3	0	13	14	0	1	0	35.3859	15	0	0
0.361071	DL	36	1	0	1	1	3	0	14	14	0	1	0	45.9729	15	0	0
0.361107	DL	36	1	0	2	1	3	0	1	14	0	1	0	31.0734	15	0	0
0.361143	DL	36	1	0	3	1	3	0	2	14	0	1	0	38.853	15	0	0
0.361179	DL	36	1	0	4	1	3	0	3	14	0	1	0	32.0609	13	0	0
0.36125	DL	36	1	0	5	2	3	0	4	31	0	1	0	33.2581	15	0	0
0.361286	DL	36	1	0	7	1	3	0	5	14	0	1	0	21.7787	8	0	0
0.361357	DL	36	1	0	8	2	3	0	6	31	0	1	0	28.694	13	0	0
0.361393	DL	36	1	0	10	1	3	0	11	14	0	1	0	30.2136	14	0	0
0.361429	DL	36	1	0	11	1	3	0	12	14	0	1	0	31.8638	13	0	0
0.361464	DL	36	1	0	12	1	3	0	13	14	0	1	0	35.3859	15	0	0
0.361571	DL	36	1	1	1	1	3	0	14	14	0	1	0	45.9729	15	0	0
0.361607	DL	36	1	1	2	1	3	0	1	14	0	1	0	31.0734	15	0	0
0.361643	DL	36	1	1	3	1	3	0	2	14	0	1	0	38.853	15	0	0
0.361714	DL	36	1	1	4	2	3	0	3	31	0	1	0	32.0609	13	0	0
0.36175	DL	36	1	1	6	1	3	0	4	14	0	1	0	33.2581	15	0	0
0.361786	DL	36	1	1	7	1	3	0	5	14	0	1	0	21.7787	8	0	0
0.361821	DL	36	1	1	8	1	3	0	6	14	0	1	0	28.694	13	0	0
0.361857	DL	36	1	1	9	1	3	0	11	14	0	1	0	30.2136	14	0	0
0.361893	DL	36	1	1	10	1	3	0	12	14	0	1	0	31.8638	13	0	0
0.361929	DL	36	1	1	11	1	3	0	13	14	0	1	0	35.3859	15	0	0
0.362107	DL	36	2	0	1	2	3	0	14	31	0	1	0	45.9729	15	0	0
0.362143	DL	36	2	0	3	1	3	0	1	14	0	1	0	31.0734	15	0	0
0.362214	DL	36	2	0	4	2	3	0	2	31	0	1	0	38.853	15	0	0
0.36225	DL	36	2	0	6	1	3	0	3	14	0	1	0	32.0609	13	0	0
0.362286	DL	36	2	0	7	1	3	0	4	14	0	1	0	33.2581	15	0	0
0.362321	DL	36	2	0	8	1	3	0	5	14	0	1	0	21.7787	8	0	0
0.362357	DL	36	2	0	9	1	3	0	6	14	0	1	0	28.694	13	0	0
0.362393	DL	36	2	0	10	1	3	0	11	14	0	1	0	30.2136	14	0	0
0.362429	DL	36	2	0	11	1	3	0	12	14	0	1	0	31.8638	13	0	0
0.362464	DL	36	2	0	12	1	3	0	13	14	0	1	0	35.3859	15	0	0
0.362571	DL	36	2	1	1	1	3	0	14	14	0	1	0	45.9729	15	0	0
0.362643	DL	36	2	1	2	2	3	0	1	31	0	1	0	31.0734	15	0	0
0.362679	DL	36	2	1	4	1	3	0	2	14	0	1	0	38.853	15	0	0
0.362714	DL	36	2	1	5	1	3	0	3	14	0	1	0	32.0609	13	0	0
0.36275	DL	36	2	1	6	1	3	0	4	14	0	1	0	33.2581	15	0	0
0.362786	DL	36	2	1	7	1	3	0	5	14	0	1	0	21.7787	8	0	0
0.362821	DL	36	2	1	8	1	3	0	6	14	0	1	0	28.694	13	0	0
0.362857	DL	36	2	1	9	1	3	0	11	14	0	1	0	30.2136	14	0	0
0.362893	DL	36	2	1	10	1	3	0	12	14	0	1	0	31.8638	13	0	0
0.362964	DL	36	2	1	11	2	3	0	13	31	0	1	0	35.3859	15	0	0
0.363071	DL	36	3	0	1	1	3	0	14	539	27	1	0	45.9729	15	0	0.0208
0.363107	DL	36	3	0	2	1	3	0	1	539	27	1	0	31.0734	15	0	0
0.363143	DL	36	3	0	3	1	3	0	2	539	27	1	0	38.853	15	0	0
0.363179	DL	36	3	0	4	1	3	0	3	445	23	1	0	32.0609	13	0	0
0.363214	DL	36	3	0	5	1	3	0	4	539	27	1	0	33.2581	15	0	0
0.36325	DL	36	3	0	6	1	3	0	5	237	13	1	0	21.7787	8	0	0.0005
0.363286	DL	36	3	0	7	1	3	0	6	445	23	1	0	28.694	13	0	0.0124
0.363321	DL	36	3	0	8	1	3	0	11	498	25	1	0	30.2136	14	0	0.0921737
0.363357	DL	36	3	0	9	1	3	0	12	445	23	1	0	31.8638	13	0	0.0001
0.367107	UL	36	7	0	1	2	3	0	13	31	0	1	0	25.3859	255	0	0
0.367107	UL	36	7	0	1	2	3	0	13	31	0	1	0	25.3859	255	0	0
0.367179	UL	36	7	0	3	2	3	0	12	31	0	1	0	21.8638	255	0	0
0.367179	UL	36	7	0	3	2	3	0	12	31	0	1	0	21.8638	255	0	0
0.367214	UL	36	7	0	5	1	3	0	11	14	0	1	0	20.2136	255	0	0
0.36725	UL	36	7	0	6	1	3	0	6	14	0	1	0	18.694	255	0	0
0.367286	UL	36	7	0	7	1	3	0	5	14	0	1	0	11.7787	255	0	0
0.367321	UL	36	7	0	8	1	3	0	4	14	0	1	0	23.2581	255	0	0
0.367357	UL	36	7	0	9	1	3	0	3	14	0	1	0	22.0609	255	0	0
0.367393	UL	36	7	0	10	1	3	0	2	14	0	1	0	28.853	255	0	0
0.367429	UL	36	7	0	11	1	3	0	1	14	0	1	0	21.0734	255	0	0
0.367464	UL	36	7	0	12	1	3	0	14	14	0	1	0	35.9729	255	0	0
0.367607	UL	36	7	1	1	2	3	0	11	31	0	1	0	20.2136	255	0	0
0.367607	UL	36	7	1	1	2	3	0	11	31	0	1	0	20.2136	255	0	0
0.367679	UL	36	7	1	3	2	3	0	6	31	0	1	0	18.694	255	0	0
0.367679	UL	36	7	1	3	2	3	0	6	31	0	1	0	18.694	255	0	0
0.36775	UL	36	7	1	5	2	3	0	5	31	0	1	0	11.7787	255	0	0
0.36775	UL	36	7	1	5	2	3	0	5	31	0	1	0	11.7787	255	0	0
0.367821	UL	36	7	1	7	2	3	0	4	31	0	1	0	23.2581	255	0	0
0.367821	UL	36	7	1	7	2	3	0	4	31	0	1	0	23.2581	255	0	0
0.367857	UL	36	7	1	9	1	3	0	3	14	0	1	0	22.0609	255	0	0
0.367893	UL	36	7	1	10	1	3	0	2	14	0	1	0	28.853	255	0	0
0.367929	UL	36	7	1	11	1	3	0	1	14	0	1	0	21.0734	255	0	0
0.367964	UL	36	7	1	12	1	3	0	14	14	0	1	0	35.9729	255	0	0
0.36825	UL	36	8	0	5	2	3	0	3	31	0	1	0	22.0609	255	0	0
0.36825	UL	36	8	0	5	2	3	0	3	31	0	1	0	22.0609	255	0	0
0.368321	UL	36	8	0	7	2	3	0	2	31	0	1	0	28.853	255	0	0
0.368321	UL	36	8	0	7	2	3	0	2	31	0	1	0	28.853	255	0	0
0.368393	UL	36	8	0	9	2	3	0	1	31	0	1	0	21.0734	255	0	0
0.368393	UL	36	8	0	9	2	3	0	1	31	0	1	0	21.0734	255	0	0
0.368464	UL	36	8	0	11	2	3	0	14	31	0	1	0	35.9729	255	0	0
0.368464	UL	36	8	0	11	2	3	0	14	31	0	1	0	35.9729	255	0	0
0.369071	DL	36	9	0	1	1	5	0	15	14	0	1	0	31.2037	15	0	0
0.369107	DL	36	9	0	2	1	5	0	14	14	0	1	0	28.3346	14	0	0
0.369143	DL	36	9	0	3	1	5	0	1	14	0	1	0	55.5115	15	0	0
0.369179	DL	36	9	0	4	1	5	0	2	14	0	1	0	59.2815	15	0	0
0.369214	DL	36	9	0	5	1	5	0	3	14	0	1	0	41.0762	15	0	0
