Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	3	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.017	gNB PHY Rxed	1	6	1	5	0	0	RACH_PREAMBLE
0.0199643	gNB PHY Rxed	1	9	1	3	0	0	SRS
0.021	gNB PHY Rxed	2	0	1	1	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	1	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	1	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	1	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	3	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	3	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	3	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	3	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	5	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	5	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	5	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	5	0	0	RACH_PREAMBLE
0.021	gNB PHY Rxed	2	0	1	5	0	0	RACH_PREAMBLE
0.0234643	gNB PHY Rxed	2	3	0	1	0	0	SRS
0.0249643	gNB PHY Rxed	2	4	1	5	0	0	SRS
0.0254643	gNB PHY Rxed	2	5	0	3	0	0	SRS
0.0274643	gNB PHY Rxed	2	7	0	1	0	0	SRS
0.0299643	gNB PHY Rxed	2	9	1	5	0	0	SRS
0.0309643	gNB PHY Rxed	3	0	1	3	0	0	SRS
0.0314643	gNB PHY Rxed	3	1	0	5	0	0	SRS
0.0319643	gNB PHY Rxed	3	1	1	5	0	0	SRS
0.0339643	gNB PHY Rxed	3	3	1	3	0	0	SRS
0.0344643	gNB PHY Rxed	3	4	0	3	0	0	SRS
0.0374643	gNB PHY Rxed	3	7	0	1	0	0	SRS
0.0379643	gNB PHY Rxed	3	7	1	1	0	0	SRS
0.0384643	gNB PHY Rxed	3	8	0	3	0	0	SRS
0.0394643	gNB PHY Rxed	3	9	0	3	0	0	SRS
0.0419643	gNB PHY Rxed	4	1	1	3	0	0	SRS
0.0429643	gNB PHY Rxed	4	2	1	1	0	0	SRS
0.0459643	gNB PHY Rxed	4	5	1	5	0	0	SRS
0.0464643	gNB PHY Rxed	4	6	0	1	0	0	SRS
0.0469643	gNB PHY Rxed	4	6	1	5	0	0	SRS
0.0469643	gNB PHY Rxed	4	6	1	3	0	0	SRS
0.0484643	gNB PHY Rxed	4	8	0	5	0	0	SRS
0.0499643	gNB PHY Rxed	4	9	1	1	0	0	SRS
0.0534643	gNB PHY Rxed	5	3	0	1	0	0	SRS
0.0539643	gNB PHY Rxed	5	3	1	1	0	0	SRS
0.0544643	gNB PHY Rxed	5	4	0	5	0	0	SRS
0.0549643	gNB PHY Rxed	5	4	1	5	0	0	SRS
0.0559643	gNB PHY Rxed	5	5	1	1	0	0	SRS
0.0559643	gNB PHY Rxed	5	5	1	3	0	0	SRS
0.0564643	gNB PHY Rxed	5	6	0	5	0	0	SRS
0.0599643	gNB PHY Rxed	5	9	1	3	0	0	SRS
0.0634643	gNB PHY Rxed	6	3	0	1	0	0	SRS
0.0649643	gNB PHY Rxed	6	4	1	5	0	0	SRS
0.0654643	gNB PHY Rxed	6	5	0	3	0	0	SRS
0.0674643	gNB PHY Rxed	6	7	0	1	0	0	SRS
0.0699643	gNB PHY Rxed	6	9	1	5	0	0	SRS
0.0709643	gNB PHY Rxed	7	0	1	3	0	0	SRS
0.0714643	gNB PHY Rxed	7	1	0	5	0	0	SRS
0.0719643	gNB PHY Rxed	7	1	1	5	0	0	SRS
0.0739643	gNB PHY Rxed	7	3	1	3	0	0	SRS
0.0744643	gNB PHY Rxed	7	4	0	3	0	0	SRS
0.0774643	gNB PHY Rxed	7	7	0	1	0	0	SRS
0.0779643	gNB PHY Rxed	7	7	1	1	0	0	SRS
0.0784643	gNB PHY Rxed	7	8	0	3	0	0	SRS
0.0794643	gNB PHY Rxed	7	9	0	3	0	0	SRS
0.0819643	gNB PHY Rxed	8	1	1	3	0	0	SRS
0.0829643	gNB PHY Rxed	8	2	1	1	0	0	SRS
