Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0	gNB PHY Txed	0	0	0	3	0	0	MIB
0	gNB PHY Txed	0	0	0	5	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.005	gNB PHY Txed	0	5	0	3	0	0	SIB1
0.005	gNB PHY Txed	0	5	0	5	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.01	gNB PHY Txed	1	0	0	3	0	0	MIB
0.01	gNB PHY Txed	1	0	0	5	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.015	gNB PHY Txed	1	5	0	3	0	0	SIB1
0.015	gNB PHY Txed	1	5	0	5	0	0	SIB1
0.018	gNB PHY Txed	1	8	0	1	0	0	RAR
0.018	gNB PHY Txed	1	8	0	3	0	0	RAR
0.018	gNB PHY Txed	1	8	0	5	0	0	RAR
0.018	gNB PHY Txed	1	8	0	5	0	0	UL_UCI
0.0185	gNB PHY Txed	1	8	1	3	0	0	UL_UCI
0.0195	gNB PHY Txed	1	9	1	3	0	0	UL_UCI
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.02	gNB PHY Txed	2	0	0	3	0	0	MIB
0.02	gNB PHY Txed	2	0	0	5	0	0	MIB
0.022	gNB PHY Txed	2	2	0	1	0	0	UL_UCI
0.022	gNB PHY Txed	2	2	0	1	0	0	RAR
0.022	gNB PHY Txed	2	2	0	3	0	0	RAR
0.022	gNB PHY Txed	2	2	0	5	0	0	RAR
0.023	gNB PHY Txed	2	3	0	5	0	0	UL_UCI
0.0235	gNB PHY Txed	2	3	1	5	0	0	UL_UCI
0.024	gNB PHY Txed	2	4	0	3	0	0	UL_UCI
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	3	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	5	0	0	SIB1
0.026	gNB PHY Txed	2	6	0	1	0	0	UL_UCI
0.026	gNB PHY Txed	2	6	0	3	0	0	UL_UCI
0.028	gNB PHY Txed	2	8	0	5	0	0	UL_UCI
0.0285	gNB PHY Txed	2	8	1	5	0	0	UL_UCI
0.029	gNB PHY Txed	2	9	0	3	0	0	UL_UCI
0.0295	gNB PHY Txed	2	9	1	3	0	0	UL_UCI
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.03	gNB PHY Txed	3	0	0	3	0	0	MIB
0.03	gNB PHY Txed	3	0	0	5	0	0	MIB
0.03	gNB PHY Txed	3	0	0	5	0	0	UL_UCI
0.0305	gNB PHY Txed	3	0	1	5	0	0	UL_UCI
0.032	gNB PHY Txed	3	2	0	1	0	0	UL_UCI
0.0325	gNB PHY Txed	3	2	1	3	0	0	UL_UCI
0.033	gNB PHY Txed	3	3	0	3	0	0	UL_UCI
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.035	gNB PHY Txed	3	5	0	3	0	0	SIB1
0.035	gNB PHY Txed	3	5	0	5	0	0	SIB1
0.036	gNB PHY Txed	3	6	0	1	0	0	UL_UCI
0.0365	gNB PHY Txed	3	6	1	1	0	0	UL_UCI
0.037	gNB PHY Txed	3	7	0	3	0	0	UL_UCI
0.038	gNB PHY Txed	3	8	0	3	0	0	UL_UCI
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.04	gNB PHY Txed	4	0	0	3	0	0	MIB
0.04	gNB PHY Txed	4	0	0	5	0	0	MIB
