Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0169643	1	0	3	-114.19
0.0169643	1	0	6	-108.316
0.0169643	1	0	9	-109.928
0.0169643	1	0	12	-110.333
0.0169643	1	0	15	-112.144
0.0169643	1	0	18	-111.712
0.0169643	1	0	21	-113.687
0.0169643	1	0	24	-109.714
0.0169643	1	0	27	-107.861
0.0169643	1	0	30	-110.066
0.0169643	3	0	4	-113.828
0.0169643	3	0	7	-96.2002
0.0169643	3	0	10	-106.523
0.0169643	3	0	13	-112.759
0.0169643	3	0	16	-107.008
0.0169643	3	0	19	-110.182
0.0169643	3	0	22	-114.926
0.0169643	3	0	25	-115.525
0.0169643	3	0	28	-107.346
0.0169643	3	0	31	-100.317
0.0169643	5	0	5	-93.4123
0.0169643	5	0	8	-92.0396
0.0169643	5	0	11	-102.569
0.0169643	5	0	14	-102.507
0.0169643	5	0	17	-110.871
0.0169643	5	0	20	-97.6195
0.0169643	5	0	23	-111.895
0.0169643	5	0	26	-85.9646
0.0169643	5	0	29	-107.965
0.0169643	5	0	32	-115.839
0.0199286	3	0	4	-113.828
0.0209643	1	0	21	-113.687
0.0209643	1	0	24	-109.714
0.0209643	1	0	27	-107.861
0.0209643	1	0	30	-110.066
0.0209643	3	0	22	-114.926
0.0209643	3	0	25	-115.525
0.0209643	3	0	28	-107.346
0.0209643	3	0	31	-100.317
0.0209643	5	0	20	-97.6195
0.0209643	5	0	23	-111.895
0.0209643	5	0	26	-85.9646
0.0209643	5	0	29	-107.965
0.0209643	5	0	32	-115.839
0.0234286	1	0	18	-111.712
0.0249286	5	0	17	-110.871
0.0254286	3	0	19	-110.182
0.0274286	1	0	9	-109.928
0.0299286	5	0	32	-115.839
0.0309286	3	0	31	-100.317
0.0314286	5	0	8	-92.0396
0.0319286	5	0	23	-111.895
0.0339286	3	0	7	-96.2002
0.0344286	3	0	13	-112.759
0.0374286	1	0	6	-108.316
0.0379286	1	0	21	-113.687
0.0384286	3	0	28	-107.346
0.0394286	3	0	10	-106.523
0.0419286	3	0	16	-107.008
0.0429286	1	0	24	-109.714
0.0459286	5	0	26	-85.9646
0.0464286	1	0	15	-112.144
0.0469286	5	0	5	-93.4123
0.0469286	3	0	22	-114.926
0.0484286	5	0	20	-97.6195
0.0499286	1	0	30	-110.066
0.0534286	1	0	3	-114.19
0.0539286	1	0	12	-110.333
0.0544286	5	0	11	-102.569
0.0549286	5	0	14	-102.507
0.0559286	1	0	27	-107.861
0.0559286	3	0	25	-115.525
0.0564286	5	0	29	-107.965
0.0599286	3	0	4	-113.828
0.0634286	1	0	18	-111.712
0.0649286	5	0	17	-110.871
0.0654286	3	0	19	-110.182
0.0674286	1	0	9	-109.928
0.0699286	5	0	32	-115.839
0.0709286	3	0	31	-100.317
0.0714286	5	0	8	-92.0396
0.0719286	5	0	23	-111.895
0.0739286	3	0	7	-96.2002
0.0744286	3	0	13	-112.759
0.0774286	1	0	6	-108.316
0.0779286	1	0	21	-113.687
0.0784286	3	0	28	-107.346
0.0794286	3	0	10	-106.523
0.0819286	3	0	16	-107.008
0.0829286	1	0	24	-109.714
0.0859286	5	0	26	-85.9646
0.0864286	1	0	15	-112.144
0.0869286	5	0	5	-93.4123
0.0869286	3	0	22	-114.926
0.0884286	5	0	20	-97.6195
0.0899286	1	0	30	-110.066
0.0934286	1	0	3	-114.19
0.0939286	1	0	12	-110.333
0.0944286	5	0	11	-102.569
0.0949286	5	0	14	-102.507
0.0959286	1	0	27	-107.861
0.0959286	3	0	25	-115.525
0.0964286	5	0	29	-107.965
0.0999286	3	0	4	-113.828
0.103429	1	0	18	-111.712
0.104929	5	0	17	-110.871
0.105429	3	0	19	-110.182
0.107429	1	0	9	-109.928
0.109929	5	0	32	-115.839
0.110929	3	0	31	-100.317
0.111429	5	0	8	-92.0396
0.111929	5	0	23	-111.895
0.113929	3	0	7	-96.2002
0.114429	3	0	13	-112.759
0.117429	1	0	6	-108.316
0.117929	1	0	21	-113.687
0.118429	3	0	28	-107.346
0.119429	3	0	10	-106.523
0.121929	3	0	16	-107.008
0.122929	1	0	24	-109.714
0.125929	5	0	26	-85.9646
0.126429	1	0	15	-112.144
0.126929	5	0	5	-93.4123
0.126929	3	0	22	-114.926
0.128429	5	0	20	-97.6195
0.129929	1	0	30	-110.066
0.133429	1	0	3	-114.19
0.133929	1	0	12	-110.333
0.134429	5	0	11	-102.569
0.134929	5	0	14	-102.507
0.135929	1	0	27	-107.861
0.135929	3	0	25	-115.525
0.136429	5	0	29	-107.965
0.139929	3	0	4	-113.828
0.143429	1	0	18	-111.712
0.144929	5	0	17	-110.871
0.145429	3	0	19	-110.182
0.147429	1	0	9	-109.928
0.149929	5	0	32	-115.839
0.150929	3	0	31	-100.317
0.151429	5	0	8	-92.0396
0.151929	5	0	23	-111.895
0.153929	3	0	7	-96.2002
0.154429	3	0	13	-112.759
0.157429	1	0	6	-108.316
0.157929	1	0	21	-113.687
0.158429	3	0	28	-107.346
0.159429	3	0	10	-106.523
0.161929	3	0	16	-107.008
0.162929	1	0	24	-109.714
0.165929	5	0	26	-85.9646
0.166429	1	0	15	-112.144
0.166929	5	0	5	-93.4123
0.166929	3	0	22	-114.926
0.168429	5	0	20	-97.6195
0.169929	1	0	30	-110.066
0.173429	1	0	3	-114.19
0.173929	1	0	12	-110.333
0.174429	5	0	11	-102.569
0.174929	5	0	14	-102.507
0.175929	1	0	27	-107.861
0.175929	3	0	25	-115.525
0.176429	5	0	29	-107.965
0.179929	3	0	4	-113.828
0.183429	1	0	18	-111.712
0.184929	5	0	17	-110.871
0.185429	3	0	19	-110.182
0.187429	1	0	9	-109.928
0.189929	5	0	32	-115.839
0.190929	3	0	31	-100.317
0.191429	5	0	8	-92.0396
0.191929	5	0	23	-111.895
0.193929	3	0	7	-96.2002
0.194429	3	0	13	-112.759
0.197429	1	0	6	-108.316
0.197929	1	0	21	-113.687
0.198429	3	0	28	-107.346
0.199429	3	0	10	-106.523
0.201929	3	0	16	-107.008
0.202929	1	0	24	-109.714
0.205929	5	0	26	-85.9646
0.206429	1	0	15	-112.144
0.206929	5	0	5	-93.4123
0.206929	3	0	22	-114.926
0.208429	5	0	20	-97.6195
0.209929	1	0	30	-110.066
0.213429	1	0	3	-114.19
0.213929	1	0	12	-110.333
0.214429	5	0	11	-102.569
0.214929	5	0	14	-102.507
0.215929	1	0	27	-107.861
0.215929	3	0	25	-115.525
0.216429	5	0	29	-107.965
0.219929	3	0	4	-113.828
0.223429	1	0	18	-111.712
0.224929	5	0	17	-110.871
0.225429	3	0	19	-110.182
0.227429	1	0	9	-109.928
0.229929	5	0	32	-115.839
0.230929	3	0	31	-100.317
0.231429	5	0	8	-92.0396
0.231929	5	0	23	-111.895
0.233929	3	0	7	-96.2002
0.234429	3	0	13	-112.759
0.237429	1	0	6	-108.316
0.237929	1	0	21	-113.687
0.238429	3	0	28	-107.346
0.239429	3	0	10	-106.523
0.241929	3	0	16	-107.008
0.242929	1	0	24	-109.714
0.245929	5	0	26	-85.9646
0.246429	1	0	15	-112.144
0.246929	5	0	5	-93.4123
0.246929	3	0	22	-114.926
0.248429	5	0	20	-97.6195
0.249929	1	0	30	-110.066
0.253429	1	0	3	-114.19
0.253929	1	0	12	-110.333
0.254429	5	0	11	-102.569
0.254929	5	0	14	-102.507
0.255929	1	0	27	-107.861
0.255929	3	0	25	-115.525
0.256429	5	0	29	-107.965
0.259929	3	0	4	-113.828
0.263429	1	0	18	-111.712
0.264929	5	0	17	-110.871
0.265429	3	0	19	-110.182
0.267429	1	0	9	-109.928
0.269929	5	0	32	-115.839
0.270929	3	0	31	-100.317
0.271429	5	0	8	-92.0396
0.271929	5	0	23	-111.895
0.273929	3	0	7	-96.2002
0.274429	3	0	13	-112.759
0.277429	1	0	6	-108.316
0.277929	1	0	21	-113.687
0.278429	3	0	28	-107.346
0.279429	3	0	10	-106.523
0.281929	3	0	16	-107.008
0.282929	1	0	24	-109.714
0.285929	5	0	26	-85.9646
0.286429	1	0	15	-112.144
0.286929	5	0	5	-93.4123
0.286929	3	0	22	-114.926
0.288429	5	0	20	-97.6195
0.289929	1	0	30	-110.066
0.293429	1	0	3	-114.19
0.293929	1	0	12	-110.333
0.294429	5	0	11	-102.569
0.294929	5	0	14	-102.507
0.295929	1	0	27	-107.861
0.295929	3	0	25	-115.525
0.296429	5	0	29	-107.965
0.299929	3	0	4	-113.828
0.303429	1	0	18	-111.712
0.304929	5	0	17	-110.871
0.305429	3	0	19	-110.182
0.307429	1	0	9	-109.928
0.309929	5	0	32	-115.839
0.310929	3	0	31	-100.317
0.310964	1	0	30	-110.066
0.310964	1	0	3	-114.19
0.310964	1	0	6	-108.316
0.310964	1	0	9	-109.928
0.310964	1	0	12	-110.333
0.310964	1	0	15	-112.144
0.310964	1	0	18	-111.712
0.310964	1	0	21	-113.687
0.310964	1	0	24	-109.714
0.310964	1	0	27	-107.861
0.311429	5	0	8	-92.0396
0.311464	1	0	30	-110.066
0.311464	1	0	3	-114.19
0.311464	1	0	6	-108.316
0.311464	1	0	9	-109.928
0.311464	1	0	12	-110.333
0.311464	1	0	15	-112.144
0.311464	1	0	18	-111.712
0.311464	1	0	21	-113.687
0.311464	1	0	24	-109.714
0.311464	1	0	27	-107.861
0.311929	5	0	23	-111.895
0.311964	1	0	30	-110.066
0.311964	1	0	3	-114.19
0.311964	1	0	6	-108.316
0.311964	1	0	9	-109.928
0.311964	1	0	12	-110.333
0.311964	1	0	15	-112.144
0.311964	1	0	18	-111.712
0.311964	1	0	21	-113.687
0.311964	1	0	24	-109.714
0.311964	1	0	27	-107.861
0.312464	1	0	30	-110.066
0.312464	1	0	3	-114.19
0.312464	1	0	6	-108.316
0.312464	1	0	9	-109.928
0.312464	1	0	12	-110.333
0.312464	1	0	15	-112.144
0.312464	1	0	18	-111.712
0.312464	1	0	21	-113.687
0.312464	1	0	24	-109.714
0.312464	1	0	27	-107.861
0.312964	1	0	24	-109.714
0.312964	1	0	27	-107.861
0.312964	1	0	30	-110.066
0.312964	1	0	3	-114.19
0.312964	1	0	6	-108.316
0.312964	1	0	9	-109.928
0.312964	1	0	12	-110.333
0.312964	1	0	15	-112.144
0.312964	1	0	18	-111.712
0.312964	1	0	21	-113.687
0.313464	1	0	24	-109.714
0.313464	1	0	27	-107.861
0.313464	1	0	30	-110.066
0.313464	1	0	3	-114.19
0.313464	1	0	6	-108.316
0.313464	1	0	9	-109.928
0.313464	1	0	12	-110.333
0.313464	1	0	15	-112.144
0.313464	1	0	18	-111.712
0.313464	1	0	21	-113.687
0.313929	3	0	7	-96.2002
0.313964	1	0	24	-109.714
0.313964	1	0	27	-107.861
0.313964	1	0	30	-110.066
0.313964	1	0	3	-114.19
0.313964	1	0	6	-108.316
0.313964	1	0	9	-109.928
0.313964	1	0	12	-110.333
0.313964	1	0	15	-112.144
0.313964	1	0	18	-111.712
0.313964	1	0	21	-113.687
0.314429	3	0	13	-112.759
0.314464	1	0	27	-107.861
0.314464	1	0	30	-110.066
0.314464	1	0	3	-114.19
0.314464	1	0	6	-108.316
0.314464	1	0	9	-109.928
0.314464	1	0	12	-110.333
0.314464	1	0	15	-112.144
0.314464	1	0	18	-111.712
0.314464	1	0	21	-113.687
0.316393	1	0	24	-109.714
0.316536	1	0	27	-107.861
0.316607	1	0	21	-113.687
0.316679	1	0	18	-111.712
0.31675	1	0	15	-112.144
0.316786	1	0	12	-110.333
0.316821	1	0	9	-109.928
0.316857	1	0	6	-108.316
0.316893	1	0	3	-114.19
0.316929	1	0	30	-110.066
0.317071	1	0	15	-112.144
0.317143	1	0	12	-110.333
0.317214	1	0	9	-109.928
0.317286	1	0	3	-114.19
0.317357	1	0	30	-110.066
0.317429	1	0	6	-108.316
0.317857	1	0	6	-108.316
0.317929	1	0	21	-113.687
0.318429	3	0	28	-107.346
0.319179	1	0	27	-107.861
0.319214	1	0	24	-109.714
0.31925	1	0	21	-113.687
0.319286	1	0	18	-111.712
0.319321	1	0	15	-112.144
0.319357	1	0	12	-110.333
0.319393	1	0	9	-109.928
0.319429	3	0	10	-106.523
0.319429	1	0	6	-108.316
0.319786	1	0	15	-112.144
0.319821	1	0	12	-110.333
0.319857	1	0	9	-109.928
0.319893	1	0	3	-114.19
0.319929	1	0	30	-110.066
0.320429	1	0	30	-110.066
0.320929	1	0	6	-108.316
0.321929	3	0	16	-107.008
0.322929	1	0	24	-109.714
0.323429	1	0	6	-108.316
0.325929	5	0	26	-85.9646
0.326429	1	0	15	-112.144
0.326929	5	0	5	-93.4123
0.326929	3	0	22	-114.926
0.328429	5	0	20	-97.6195
0.329929	1	0	30	-110.066
0.333429	1	0	3	-114.19
0.333929	1	0	12	-110.333
0.334429	5	0	11	-102.569
0.334929	5	0	14	-102.507
0.335929	3	0	25	-115.525
0.335929	1	0	27	-107.861
0.336429	5	0	29	-107.965
0.339929	3	0	4	-113.828
0.343429	1	0	18	-111.712
0.344929	5	0	17	-110.871
0.345429	3	0	19	-110.182
0.347429	1	0	9	-109.928
0.349929	5	0	32	-115.839
0.350929	3	0	31	-100.317
0.351429	5	0	8	-92.0396
0.351929	5	0	23	-111.895
0.353929	3	0	7	-96.2002
0.354429	3	0	13	-112.759
0.357429	1	0	6	-108.316
0.357929	1	0	21	-113.687
0.358429	3	0	28	-107.346
0.359429	3	0	10	-106.523
0.361464	3	0	31	-100.317
0.361464	3	0	4	-113.828
0.361464	3	0	7	-96.2002
0.361464	3	0	10	-106.523
0.361464	3	0	13	-112.759
0.361464	3	0	16	-107.008
0.361464	3	0	19	-110.182
0.361464	3	0	22	-114.926
0.361464	3	0	25	-115.525
0.361464	3	0	28	-107.346
0.361929	3	0	16	-107.008
0.361964	3	0	31	-100.317
0.361964	3	0	4	-113.828
0.361964	3	0	7	-96.2002
0.361964	3	0	10	-106.523
0.361964	3	0	13	-112.759
0.361964	3	0	19	-110.182
0.361964	3	0	22	-114.926
0.361964	3	0	25	-115.525
0.361964	3	0	28	-107.346
0.361964	3	0	16	-107.008
0.362464	3	0	31	-100.317
0.362464	3	0	4	-113.828
0.362464	3	0	7	-96.2002
0.362464	3	0	10	-106.523
0.362464	3	0	13	-112.759
0.362464	3	0	16	-107.008
0.362464	3	0	19	-110.182
0.362464	3	0	22	-114.926
0.362464	3	0	25	-115.525
0.362464	3	0	28	-107.346
0.362929	1	0	24	-109.714
0.362964	3	0	31	-100.317
0.362964	3	0	4	-113.828
0.362964	3	0	7	-96.2002
0.362964	3	0	10	-106.523
0.362964	3	0	13	-112.759
0.362964	3	0	16	-107.008
0.362964	3	0	19	-110.182
0.362964	3	0	22	-114.926
0.362964	3	0	25	-115.525
0.362964	3	0	28	-107.346
0.363464	3	0	28	-107.346
0.363464	3	0	31	-100.317
0.363464	3	0	4	-113.828
0.363464	3	0	7	-96.2002
0.363464	3	0	10	-106.523
0.363464	3	0	13	-112.759
0.363464	3	0	16	-107.008
0.363464	3	0	19	-110.182
0.363464	3	0	22	-114.926
0.363464	3	0	25	-115.525
0.363964	3	0	28	-107.346
0.363964	3	0	31	-100.317
0.363964	3	0	4	-113.828
0.363964	3	0	7	-96.2002
0.363964	3	0	10	-106.523
0.363964	3	0	13	-112.759
0.363964	3	0	16	-107.008
0.363964	3	0	19	-110.182
0.363964	3	0	22	-114.926
0.363964	3	0	25	-115.525
0.364464	3	0	28	-107.346
0.364464	3	0	31	-100.317
0.364464	3	0	4	-113.828
0.364464	3	0	7	-96.2002
0.364464	3	0	10	-106.523
0.364464	3	0	13	-112.759
0.364464	3	0	16	-107.008
0.364464	3	0	19	-110.182
0.364464	3	0	22	-114.926
0.364464	3	0	25	-115.525
0.364964	3	0	28	-107.346
0.364964	3	0	31	-100.317
0.364964	3	0	4	-113.828
0.364964	3	0	7	-96.2002
0.364964	3	0	10	-106.523
0.364964	3	0	13	-112.759
0.364964	3	0	16	-107.008
0.364964	3	0	19	-110.182
0.364964	3	0	22	-114.926
0.364964	3	0	25	-115.525
0.365929	5	0	26	-85.9646
0.366429	1	0	15	-112.144
0.366929	5	0	5	-93.4123
0.366929	3	0	22	-114.926
0.367036	3	0	28	-107.346
0.367107	3	0	25	-115.525
0.367179	3	0	22	-114.926
0.367214	3	0	19	-110.182
0.36725	3	0	16	-107.008
0.367286	3	0	13	-112.759
0.367321	3	0	10	-106.523
0.367357	3	0	7	-96.2002
0.367393	3	0	4	-113.828
0.367429	3	0	31	-100.317
0.367536	3	0	22	-114.926
0.367607	3	0	19	-110.182
0.367679	3	0	16	-107.008
0.36775	3	0	13	-112.759
0.367821	3	0	10	-106.523
0.367857	3	0	7	-96.2002
0.367893	3	0	4	-113.828
0.367929	3	0	31	-100.317
0.368179	3	0	10	-106.523
0.36825	3	0	7	-96.2002
0.368321	3	0	4	-113.828
0.368393	3	0	31	-100.317
0.368429	5	0	20	-97.6195
0.369679	3	0	28	-107.346
0.369714	3	0	25	-115.525
0.36975	3	0	22	-114.926
0.369786	3	0	19	-110.182
0.369821	3	0	16	-107.008
0.369857	3	0	13	-112.759
0.369893	3	0	10	-106.523
0.369929	1	0	30	-110.066
0.369929	3	0	7	-96.2002
0.370179	3	0	22	-114.926
0.370214	3	0	19	-110.182
0.37025	3	0	16	-107.008
0.370286	3	0	13	-112.759
0.370321	3	0	10	-106.523
0.370357	3	0	7	-96.2002
0.370393	3	0	4	-113.828
0.370429	3	0	31	-100.317
0.370464	5	0	32	-115.839
0.370464	5	0	29	-107.965
0.370464	5	0	5	-93.4123
0.370464	5	0	8	-92.0396
0.370464	5	0	11	-102.569
0.370464	5	0	14	-102.507
0.370464	5	0	17	-110.871
0.370464	5	0	20	-97.6195
0.370464	5	0	23	-111.895
0.370464	5	0	26	-85.9646
0.370821	3	0	10	-106.523
0.370857	3	0	7	-96.2002
0.370893	3	0	4	-113.828
0.370929	3	0	31	-100.317
0.370964	5	0	32	-115.839
0.370964	5	0	29	-107.965
0.370964	5	0	5	-93.4123
0.370964	5	0	8	-92.0396
0.370964	5	0	11	-102.569
0.370964	5	0	14	-102.507
0.370964	5	0	17	-110.871
0.370964	5	0	20	-97.6195
0.370964	5	0	23	-111.895
0.370964	5	0	26	-85.9646
0.371429	3	0	31	-100.317
0.371464	5	0	32	-115.839
0.371464	5	0	29	-107.965
0.371464	5	0	5	-93.4123
0.371464	5	0	8	-92.0396
0.371464	5	0	11	-102.569
0.371464	5	0	14	-102.507
0.371464	5	0	17	-110.871
0.371464	5	0	20	-97.6195
0.371464	5	0	23	-111.895
0.371464	5	0	26	-85.9646
0.371964	5	0	32	-115.839
0.371964	5	0	29	-107.965
0.371964	5	0	5	-93.4123
0.371964	5	0	8	-92.0396
0.371964	5	0	11	-102.569
0.371964	5	0	14	-102.507
0.371964	5	0	17	-110.871
0.371964	5	0	20	-97.6195
0.371964	5	0	23	-111.895
0.371964	5	0	26	-85.9646
0.372429	3	0	19	-110.182
0.372464	5	0	23	-111.895
0.372464	5	0	26	-85.9646
0.372464	5	0	32	-115.839
0.372464	5	0	29	-107.965
0.372464	5	0	5	-93.4123
0.372464	5	0	8	-92.0396
0.372464	5	0	11	-102.569
0.372464	5	0	14	-102.507
0.372464	5	0	17	-110.871
0.372464	5	0	20	-97.6195
0.372964	5	0	23	-111.895
0.372964	5	0	26	-85.9646
0.372964	5	0	32	-115.839
0.372964	5	0	29	-107.965
0.372964	5	0	5	-93.4123
0.372964	5	0	8	-92.0396
0.372964	5	0	11	-102.569
0.372964	5	0	14	-102.507
0.372964	5	0	17	-110.871
0.372964	5	0	20	-97.6195
0.373429	1	0	3	-114.19
0.373464	5	0	23	-111.895
0.373464	5	0	26	-85.9646
0.373464	5	0	32	-115.839
0.373464	5	0	29	-107.965
0.373464	5	0	5	-93.4123
0.373464	5	0	8	-92.0396
0.373464	5	0	11	-102.569
0.373464	5	0	14	-102.507
0.373464	5	0	17	-110.871
0.373464	5	0	20	-97.6195
0.373929	1	0	12	-110.333
0.373964	5	0	26	-85.9646
0.373964	5	0	32	-115.839
0.373964	5	0	29	-107.965
0.373964	5	0	5	-93.4123
0.373964	5	0	8	-92.0396
0.373964	5	0	11	-102.569
0.373964	5	0	14	-102.507
0.373964	5	0	17	-110.871
0.373964	5	0	20	-97.6195
0.374429	5	0	11	-102.569
0.374929	5	0	14	-102.507
0.375893	5	0	23	-111.895
0.375929	1	0	27	-107.861
0.375929	3	0	25	-115.525
0.376036	5	0	26	-85.9646
0.376107	5	0	20	-97.6195
0.376179	5	0	17	-110.871
0.37625	5	0	14	-102.507
0.376286	5	0	11	-102.569
0.376321	5	0	8	-92.0396
0.376357	5	0	5	-93.4123
0.376393	5	0	32	-115.839
0.376429	5	0	29	-107.965
0.376536	5	0	14	-102.507
0.376607	5	0	11	-102.569
0.376679	5	0	8	-92.0396
0.37675	5	0	5	-93.4123
0.376821	5	0	29	-107.965
0.376893	5	0	32	-115.839
0.378679	5	0	26	-85.9646
0.378714	5	0	23	-111.895
0.37875	5	0	20	-97.6195
0.378786	5	0	17	-110.871
0.378821	5	0	14	-102.507
0.378857	5	0	11	-102.569
0.378893	5	0	8	-92.0396
0.378929	5	0	5	-93.4123
0.37925	5	0	14	-102.507
0.379286	5	0	11	-102.569
0.379321	5	0	8	-92.0396
0.379357	5	0	5	-93.4123
0.379393	5	0	29	-107.965
0.379429	5	0	32	-115.839
0.379929	3	0	4	-113.828
0.379929	5	0	32	-115.839
0.383429	1	0	18	-111.712
0.384929	5	0	17	-110.871
0.385429	3	0	19	-110.182
0.387429	1	0	9	-109.928
0.389929	5	0	32	-115.839
0.390929	3	0	31	-100.317
0.391429	5	0	8	-92.0396
0.391929	5	0	23	-111.895
0.393929	3	0	7	-96.2002
0.394429	3	0	13	-112.759
0.397429	1	0	6	-108.316
0.397929	1	0	21	-113.687
0.398429	3	0	28	-107.346
0.399429	3	0	10	-106.523
0.401929	3	0	16	-107.008
0.402929	1	0	24	-109.714
0.405929	5	0	26	-85.9646
0.406429	1	0	15	-112.144
0.406929	3	0	22	-114.926
0.406929	5	0	5	-93.4123
0.408429	5	0	20	-97.6195
0.409929	1	0	30	-110.066
0.413429	1	0	3	-114.19
0.413929	1	0	12	-110.333
0.414429	5	0	11	-102.569
0.414929	5	0	14	-102.507
0.415929	1	0	27	-107.861
0.415929	3	0	25	-115.525
0.416429	5	0	29	-107.965
0.419929	3	0	4	-113.828
0.423429	1	0	18	-111.712
0.424929	5	0	17	-110.871
0.425429	3	0	19	-110.182
0.427429	1	0	9	-109.928
0.429929	5	0	32	-115.839
0.430929	3	0	31	-100.317
0.431429	5	0	8	-92.0396
0.431929	5	0	23	-111.895
0.433464	5	0	5	-93.4123
0.433929	3	0	7	-96.2002
0.433964	5	0	5	-93.4123
0.434429	3	0	13	-112.759
0.434464	5	0	5	-93.4123
0.434964	5	0	5	-93.4123
0.435464	5	0	5	-93.4123
0.435964	5	0	5	-93.4123
0.436464	5	0	5	-93.4123
0.436964	5	0	5	-93.4123
0.437429	1	0	6	-108.316
0.437464	5	0	5	-93.4123
0.437929	1	0	21	-113.687
0.437964	5	0	5	-93.4123
0.438429	3	0	28	-107.346
0.438464	5	0	5	-93.4123
0.438964	5	0	5	-93.4123
0.439429	3	0	10	-106.523
0.439464	5	0	5	-93.4123
0.439964	5	0	5	-93.4123
0.440464	5	0	5	-93.4123
0.440964	5	0	5	-93.4123
0.441464	5	0	5	-93.4123
0.441929	3	0	16	-107.008
0.441964	5	0	5	-93.4123
0.442464	5	0	5	-93.4123
0.442929	1	0	24	-109.714
0.442964	5	0	5	-93.4123
0.443464	5	0	5	-93.4123
0.443964	5	0	5	-93.4123
0.444464	5	0	5	-93.4123
0.444964	5	0	5	-93.4123
0.445464	5	0	5	-93.4123
0.445929	5	0	26	-85.9646
0.445964	5	0	5	-93.4123
0.446429	1	0	15	-112.144
0.446464	5	0	5	-93.4123
0.446929	3	0	22	-114.926
0.446929	5	0	5	-93.4123
0.446964	5	0	5	-93.4123
0.447464	5	0	5	-93.4123
0.447964	5	0	5	-93.4123
0.448429	5	0	20	-97.6195
0.448464	5	0	5	-93.4123
0.448964	5	0	5	-93.4123
0.449464	5	0	5	-93.4123
0.449929	1	0	30	-110.066
0.449964	5	0	5	-93.4123
0.450464	5	0	5	-93.4123
0.450964	5	0	5	-93.4123
0.451464	5	0	5	-93.4123
0.451964	5	0	5	-93.4123
0.452464	5	0	5	-93.4123
0.452964	5	0	5	-93.4123
0.453429	1	0	3	-114.19
0.453464	5	0	5	-93.4123
0.453929	1	0	12	-110.333
0.453964	5	0	5	-93.4123
0.454429	5	0	11	-102.569
0.454464	5	0	5	-93.4123
0.454929	5	0	14	-102.507
0.454964	5	0	5	-93.4123
0.455464	5	0	5	-93.4123
0.455929	1	0	27	-107.861
0.455929	3	0	25	-115.525
0.455964	5	0	5	-93.4123
0.456429	5	0	29	-107.965
0.456464	5	0	5	-93.4123
0.456964	5	0	5	-93.4123
0.457464	5	0	5	-93.4123
0.457964	5	0	5	-93.4123
0.458464	5	0	5	-93.4123
0.458964	5	0	5	-93.4123
0.459464	5	0	5	-93.4123
0.459929	3	0	4	-113.828
0.459964	5	0	5	-93.4123
0.460464	5	0	5	-93.4123
0.460964	5	0	5	-93.4123
0.461464	5	0	5	-93.4123
0.461964	5	0	5	-93.4123
0.462464	5	0	5	-93.4123
0.462964	5	0	5	-93.4123
0.463429	1	0	18	-111.712
0.463464	5	0	5	-93.4123
0.463964	5	0	5	-93.4123
0.464464	5	0	5	-93.4123
0.464929	5	0	17	-110.871
0.464964	5	0	5	-93.4123
0.465429	3	0	19	-110.182
0.465464	5	0	5	-93.4123
0.465964	5	0	5	-93.4123
0.466464	5	0	5	-93.4123
0.466964	5	0	5	-93.4123
0.467429	1	0	9	-109.928
0.467464	5	0	5	-93.4123
0.467964	5	0	5	-93.4123
0.468464	5	0	5	-93.4123
0.468964	5	0	5	-93.4123
0.469464	5	0	5	-93.4123
0.469929	5	0	32	-115.839
0.469964	5	0	5	-93.4123
0.470464	5	0	5	-93.4123
0.470929	3	0	31	-100.317
0.470964	5	0	5	-93.4123
0.471429	5	0	8	-92.0396
0.471464	5	0	5	-93.4123
0.471929	5	0	23	-111.895
0.471964	5	0	5	-93.4123
0.472464	5	0	5	-93.4123
0.472964	5	0	5	-93.4123
0.473464	5	0	5	-93.4123
0.473929	3	0	7	-96.2002
0.473964	5	0	5	-93.4123
0.474429	3	0	13	-112.759
0.474464	5	0	5	-93.4123
0.477429	1	0	6	-108.316
0.477929	1	0	21	-113.687
0.478429	3	0	28	-107.346
0.479429	3	0	10	-106.523
0.481929	3	0	16	-107.008
0.482929	1	0	24	-109.714
0.485929	5	0	26	-85.9646
0.486429	1	0	15	-112.144
0.486929	3	0	22	-114.926
0.486929	5	0	5	-93.4123
0.488429	5	0	20	-97.6195
0.489929	1	0	30	-110.066
0.493429	1	0	3	-114.19
0.493929	1	0	12	-110.333
0.494429	5	0	11	-102.569
0.494464	5	0	8	-92.0396
0.494929	5	0	14	-102.507
0.494964	5	0	8	-92.0396
0.495464	5	0	8	-92.0396
0.495929	1	0	27	-107.861
0.495929	3	0	25	-115.525
0.495964	5	0	8	-92.0396
0.496429	5	0	29	-107.965
0.496464	5	0	8	-92.0396
0.496964	5	0	8	-92.0396
0.497464	5	0	8	-92.0396
