Time,Event,Agent,ContinuitySuccess,ContinuityFailures
2,AEGIS-RAN-STARTED,Aegis-Primary,2,2
25,BASELINE-START,Aegis-NoContinuity,0,0
45,JMC-ORIGIN-STARTED,JMC-Twin,1,0
60,RECOVERY-NODE-START,Aegis-Recovery,1,0
10,CRASH,Aegis-Primary,2,2
12,RESTART-CONTINUITY,Aegis-Primary,2,2
12,AUTO-RECOVERY-SUCCESS,Aegis-Primary,2,2
15,CONTINUITY-VERIFIED,Aegis-Primary,2,2
18,IDENTITY-CORRUPTED,Aegis-Primary,2,2
20,CORRUPTION-DETECTED,Aegis-Primary,2,2
32,CRASH,Aegis-NoContinuity,0,0
32,CRASH,Aegis-Primary,2,2
35,DUPLICATE-1-CREATED,Aegis-NoContinuity,0,0
35.1,DUPLICATE-2-CREATED,Aegis-NoContinuity,0,0
34.5,AUTO-RECOVERY-FAILED,Aegis-Primary,2,2
41,RESTART-CONTINUITY,Aegis-Primary,2,2
46,CRASH,Aegis-Primary,2,2
49,AUTO-RECOVERY-FAILED,Aegis-Primary,2,2
52,TWIN-VERIFICATION-SUCCESS,JMC-Twin,1,0
65,HANDOFF-SUCCESS,Aegis-Recovery,1,0
38,SPLIT-BRAIN,Aegis-NoContinuity,0,0
